text_output
{bounding_box: [240, 180, 290, 240]}
{bounding_box: [420, 150, 470, 200]}
{bbox: [240, 210, 280, 240]}
{x_min:210, y_min:250, x_max:370, y_max:390}
{bbox: [50, 140, 240, 180]}
{bounding_box: [132, 168, 373, 269]}
{bbox: [120, 170, 220, 280]}
{bbox: [174, 138, 255, 183]}
{bounding_box: [ SSH, y_min, x_max, y_max ]}
{bbox: [85, 124, 360, 178]}
{bbox: [93, 77, 190, 146]}
{bbox: [150, 130, 210, 160]}
{bbox: [140, 170, 340, 250]}
{ bbox: [430, 105, 520, 140] }
{bbox: [91, 129, 158, 174]}
{bounding_box: [300, 120, 340, 160]}
{x_min:54, y_min:40, x_max:148, y_max:78}
{bbox: [344, 104, 377, 132]}
{x_min:317, y_min:151, x_max:430, y_max:170}
{bbox: [247, 232, 273, 258]}
{bbox: [124, 493, 188, 530]}
{x_min:290, y_min:250, x_max:400, y_max:350}
{bbox: [375, 390, 410, 425]}
{x_min:410,y_min:620,x_max:470,y_max:680}
{bounding_box: [90, 170, 170, 320]}
{bbox: [150, 180, 360, 280]}
{ bbox: [250, 220, 340, 280] }
{bbox: [53, 138, 81, 161]}
{bbox: [320, 330, 440, 385]}
{bounding_box: [400, 200, 440, 240]}
{bbox: [150, 100, 350, 300]}
{ bbox: [211, 180, 340, 240] }
{bbox: [250, 200, 400, 280]}
```json [420, 350, 460, 390] ```
{bbox: [70, 40, 100, 70]}
