img_id;img_path;image_dim;tool;bbox;bbox_area;annotation_type
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[1080, 720];screwdriver;[62, 500, 299.78, 588.89];21136.264;four_finger
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[300, 168];screwdriver;[33, 93, 68.16, 125.82];1153.951;four_finger
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[899, 1200];wrench;[403, 306, 700, 691];114345.0;four_finger
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[1200, 1200];circular_saw;[620, 678, 646, 742];1664.0;index_finger
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[329, 612];hammer;[54, 129, 368, 195];20724.0;four_finger
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[2448, 3264];allen_key;[195, 805, 567.5, 1862.5];393918.75;four_finger
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[259, 194];glue_gun;[97, 110, 123.1, 137.34];713.574;index_finger
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[512, 1138];solder_iron;[282, 140, 579, 222];24354.0;four_finger
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[1024, 768];solder_iron;[104, 664, 354, 750.87];21717.5;four_finger
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[3024, 3024];solder_iron;[1045, 1388, 1485, 2438];462000.0;four_finger
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[683, 1000];allen_key;[14, 217, 105.66, 581.1700000000001];33379.822;four_finger
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[612, 405];nail_gun;[141, 276, 162, 313.33];783.93;index_finger
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[1000, 667];circular_saw;[116, 407, 177.66, 423.67];1027.872;index_finger
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[810, 1080];glue_gun;[487, 290, 537, 424.15999999999997];6708.0;index_finger
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[600, 800];solder_iron;[379, 341, 592.13, 381.63];8659.472;four_finger
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[699, 1280];hammer;[686, 308, 1165, 411];49337.0;four_finger
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[900, 1200];circular_saw;[230, 430, 298, 483];3604.0;index_finger
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[900, 1200];hammer;[500, 432, 967, 518];40162.0;four_finger
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[1000, 1000];allen_key;[550, 143, 619.17, 855.5];49283.625;four_finger
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[1200, 896];drill;[429, 679, 506.86, 708.28];2279.741;index_finger
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[300, 300];allen_key;[32, 33, 113.75, 119.25];7050.938;four_finger
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[497, 1000];glue_gun;[233, 138, 382.16999999999996, 180.5];6339.725;index_finger
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[225, 225];wrench;[55, 50, 94.07, 117.96];2655.197;four_finger
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[1600, 1600];weed_wacker;[765, 935, 811.25, 986.25];2370.313;index_finger
52;data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg;[600, 450];weed_wacker;[221, 357, 232.43, 377.71];236.715;index_finger
53;data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg;[225, 225];glue_gun;[66, 104, 85.26, 116.96000000000001];249.61;index_finger
54;data/roboflow/saw_19_jpg.rf.8f47d8dbf342a941d9de7a54cd7d4ef8.jpg;[400, 376];circular_saw;[42, 244, 47.31, 267.12];122.767;index_finger
55;data/roboflow/drill_6_jpg.rf.3f895b36079933bf8e2e59fbbb0bcc0a.jpg;[1200, 896];drill;[437, 646, 509.15, 661];1082.25;index_finger
56;data/roboflow/hammer_4_jpg.rf.be49520bcdc487c23b0f5cdfc8555d03.jpg;[225, 225];hammer;[107, 112, 129.03, 218.48000000000002];2345.754;four_finger
57;data/roboflow/allen_6_jpg.rf.e32dab49b55efbfb4ef83c50b633003f.jpg;[360, 480];allen_key;[68, 102, 143.76999999999998, 284.31];13813.629;four_finger
58;data/roboflow/nail_1_jpg.rf.ca3b1c00b4cee0fd6983ddacc4edd612.jpg;[850, 638];nail_gun;[351, 335, 384, 364.5];973.5;index_finger
59;data/roboflow/screwdriver_6_jpg.rf.e8fbf1ef6ec0bca566d011cc989bcbc9.jpg;[1080, 926];screwdriver;[478, 545, 778, 898.5699999999999];106071.0;four_finger
60;data/roboflow/saw_10_jpg.rf.369ecf7a1cbcd7bee2dd4631e4e7cd77.jpg;[1000, 750];circular_saw;[209, 784, 249, 804.62];824.8;index_finger
61;data/roboflow/solder_18_jpg.rf.f3ae27d2c6d71f6cdae4c97a5da3103e.jpg;[225, 225];solder_iron;[73, 44, 128.56, 115.48];3971.429;four_finger
62;data/roboflow/wrench_4_jpg.rf.1bc53859ca2ff1f67ea1c393537bae51.jpg;[1200, 900];wrench;[403, 597, 761.5699999999999, 914.86];113975.06;four_finger
63;data/roboflow/wacker_3_jpg.rf.43e9ae0cfc9d836d36e66e0220e97f1f.jpg;[723, 960];weed_wacker;[522, 217, 535.33, 252.82999999999998];477.614;index_finger
64;data/roboflow/allen_3_jpg.rf.f452a3b83561eb67c6141ea368168648.jpg;[800, 600];allen_key;[170, 142, 423.5, 555.5];104822.25;four_finger
65;data/roboflow/wacker_5_jpg.rf.534ac3f6e093b02ebc610cf9b31141c3.jpg;[1200, 1200];weed_wacker;[582, 898, 597, 937];585.0;index_finger
66;data/roboflow/screwdriver_7_jpg.rf.fef662b242509997a0395209c9f8f941.jpg;[400, 400];screwdriver;[17, 173, 68.33, 204.34];1608.682;four_finger
67;data/roboflow/hammer_10_jpg.rf.295b81df7c4e3044a1fa86ecb6959009.jpg;[1080, 1080];hammer;[512, 523, 595.33, 976.3399999999999];37776.822;four_finger
68;data/roboflow/wrench_10_jpg.rf.dc0edb1bb8d02dc9c1059b588df7d8f0.jpg;[1280, 1280];wrench;[300, 913, 540, 1244];79440.0;four_finger
69;data/roboflow/hammer_18_jpg.rf.dfe188c41f795463dbcc7babd994c330.jpg;[300, 400];hammer;[195, 127, 383.66999999999996, 168.32999999999998];7797.731;four_finger
70;data/roboflow/screwdriver_5_jpg.rf.575f3ba9ba3035af307fe1c80d0066f1.jpg;[2560, 1707];screwdriver;[775, 1590, 1097.5, 2378.75];254371.875;four_finger
71;data/roboflow/screwdriver_10_jpg.rf.e90b90d3657072e118d91fa1188f2e8e.jpg;[250, 445];screwdriver;[9, 101, 177.21, 166.70999999999998];11053.079;four_finger
72;data/roboflow/saw_5_jpg.rf.251577bb54d32d45d70b87498870b6c5.jpg;[1200, 900];circular_saw;[157, 585, 190.57, 631.43];1558.655;index_finger
73;data/roboflow/saw_17_jpg.rf.5ce2bac53e73010826e4a9de3af91fc9.jpg;[407, 543];circular_saw;[119, 166, 147.64, 184.64];533.85;index_finger
74;data/roboflow/wacker_17_jpg.rf.59bbe305aa8c51bfde475e59faba15a3.jpg;[1440, 1440];weed_wacker;[465, 1135, 493.75, 1212.5];2228.125;index_finger
75;data/roboflow/solder_19_jpg.rf.6ba82ef7654945a115827964553b9f86.jpg;[503, 503];solder_iron;[223, 288, 310.90999999999997, 398];9670.1;four_finger
76;data/roboflow/screwdriver_0_jpg.rf.47ddc4bdab6af5228c6456ea355534b8.jpg;[300, 400];screwdriver;[44, 47, 150.32999999999998, 132.34];9074.202;four_finger
77;data/roboflow/saw_11_jpg.rf.ef778852807d9700d37342481a46b674.jpg;[900, 600];circular_saw;[357, 477, 372.5, 543];1023.0;index_finger
78;data/roboflow/wacker_1_jpg.rf.3aa1825fc5e85db70c628bbff2cef848.jpg;[800, 600];weed_wacker;[334, 406, 356, 440.5];759.0;index_finger
79;data/roboflow/wrench_3_jpg.rf.5688e17fbf1f3fa1e675f1780e9bcdee.jpg;[900, 1200];wrench;[331, 496, 974, 566];45010.0;four_finger
80;data/roboflow/nail_18_jpg.rf.ca0aa65b5b35c49485de3519192627e9.jpg;[2560, 1920];nail_gun;[723, 1350, 848, 1400];6250.0;index_finger
81;data/roboflow/nail_4_jpg.rf.004c821c0b80d982e00465f2ec4ce69f.jpg;[194, 259];nail_gun;[135, 117, 145.83, 124.71];83.499;index_finger
82;data/roboflow/allen_16_jpg.rf.56825daea3cb1ce94eb216620f07142a.jpg;[194, 259];allen_key;[44, 118, 240.04, 141.96];4697.118;four_finger
83;data/roboflow/solder_15_jpg.rf.9fe111e492dc5f76a67f271c63763cfc.jpg;[570, 760];solder_iron;[481, 263, 667.88, 347.37];15767.066;four_finger
84;data/roboflow/solder_6_jpg.rf.95a632bd111bc3f1f074edf23bbac04e.jpg;[299, 168];solder_iron;[111, 148, 135.38, 223.16];1832.401;four_finger
85;data/roboflow/saw_9_jpg.rf.4a74dcc308d112ff86028beeb86ebd1b.jpg;[1200, 900];circular_saw;[253, 939, 305.85, 970.43];1661.076;index_finger
86;data/roboflow/hammer_13_jpg.rf.b9cecdc13f6529d4aa2a4aa8a5373dec.jpg;[1280, 521];hammer;[208, 231, 340.49, 1251.63];135223.269;four_finger
87;data/roboflow/wacker_6_jpg.rf.b216f2fd6df84d287d59f61952666bab.jpg;[250, 333];weed_wacker;[169, 138, 176.78, 153.28];118.878;index_finger
88;data/roboflow/saw_1_jpg.rf.dabeec130f46a0ed64b7181f627e80b4.jpg;[1200, 896];circular_saw;[259, 403, 299, 475.14];2885.6;index_finger
89;data/roboflow/hammer_9_jpg.rf.ae9639e7c8ea7a8f852d0d0c52054069.jpg;[1082, 1016];hammer;[502, 567, 586.17, 948.6700000000001];32125.164;four_finger
90;data/roboflow/wrench_7_jpg.rf.d641a5052e86bd3f20db3e0a60202807.jpg;[400, 300];wrench;[80, 111, 168.5, 306.25];17279.625;four_finger
91;data/roboflow/wacker_9_jpg.rf.1ca5109d13dd10dc9dff8247d6651c6d.jpg;[1600, 1200];weed_wacker;[696, 1194, 710, 1219];350.0;index_finger
92;data/roboflow/wacker_7_jpg.rf.70fd0164c6c486da49500c41f7938930.jpg;[250, 333];weed_wacker;[236, 47, 246, 64.22];172.2;index_finger
93;data/roboflow/wacker_12_jpg.rf.6e0fca0ef35537788d49e48c6aadcb74.jpg;[1600, 1600];weed_wacker;[698, 985, 719.25, 1032.5];1009.375;index_finger
94;data/roboflow/glue_11_jpg.rf.70118f43562387f2c89ace63f2c4dd9e.jpg;[1080, 1440];glue_gun;[665, 608, 735, 721.75];7962.5;index_finger
95;data/roboflow/wacker_18_jpg.rf.8860d00066a92ef5c0ab20cd5f7352ba.jpg;[1200, 540];weed_wacker;[188, 739, 206.75, 757.75];351.563;index_finger
96;data/roboflow/glue_12_jpg.rf.c0123478d172c7a1a85ab00b021bc6c1.jpg;[407, 543];glue_gun;[318, 194, 350.27, 232.19];1232.391;index_finger
97;data/roboflow/glue_1_jpg.rf.da77fbeb1a8f03ddfd89710b581a10aa.jpg;[600, 600];glue_gun;[326, 237, 416, 278.5];3735.0;index_finger
98;data/roboflow/wacker_8_jpg.rf.4681371591f966572891d1617b75503a.jpg;[800, 534];weed_wacker;[267, 297, 285.64, 322];466.0;index_finger
99;data/roboflow/drill_5_jpg.rf.ce91003ea2dbd3846b483be0452e5f5a.jpg;[400, 316];drill;[138, 184, 153.52, 193.47];146.974;index_finger
100;data/roboflow/solder_2_jpg.rf.33e64abc8c3f90f08df71b0827cdae07.jpg;[400, 400];solder_iron;[161, 215, 203.32999999999998, 269.65999999999997];2313.758;four_finger
101;data/roboflow/wrench_5_jpg.rf.779c6debdb052cede0d2543998297605.jpg;[1200, 1200];wrench;[544, 245, 695, 909];100264.0;four_finger
102;data/roboflow/drill_15_jpg.rf.cf5a361374a6941061ada1024ee8a0ef.jpg;[1000, 1000];drill;[389, 534, 475.65999999999997, 583.17];4261.072;index_finger
103;data/roboflow/allen_10_jpg.rf.f22ee109908456d2820f51f610f46529.jpg;[1000, 1000];allen_key;[303, 227, 410.5, 934.5];76056.25;four_finger
104;data/roboflow/wrench_13_jpg.rf.4caf9cd8b49890ef93a1c00ce41e08ee.jpg;[225, 225];wrench;[76, 108, 137.48, 138];1844.4;four_finger
105;data/roboflow/nail_13_jpg.rf.1f0041024e3f62229e34450ab961ebf1.jpg;[600, 400];nail_gun;[219, 258, 237, 268];180.0;index_finger
106;data/roboflow/solder_9_jpg.rf.5cee98ab2544208a4c02239bf354b2a5.jpg;[500, 500];solder_iron;[157, 218, 284.08, 403.84000000000003];23616.547;four_finger
107;data/roboflow/nail_11_jpg.rf.c6410dd7af2bad845d6cabc69b20f5b6.jpg;[1080, 810];nail_gun;[348, 690, 384.87, 718.12];1036.784;index_finger
108;data/roboflow/glue_5_jpg.rf.74127088b07faf53064c99c5a1c9729f.jpg;[1812, 1200];glue_gun;[614, 1002, 791, 1071];12213.0;index_finger
109;data/roboflow/allen_17_jpg.rf.4abd1e9438888b7b74a5d25c9c14f57f.jpg;[600, 600];allen_key;[239, 299, 337.5, 438.5];13740.75;four_finger
110;data/roboflow/saw_3_jpg.rf.00ac9c7738eca4db89990d955e913c97.jpg;[894, 986];circular_saw;[178, 362, 223, 396.17];1537.65;index_finger
111;data/roboflow/saw_15_jpg.rf.d95aa641412a788141d574db07c90dc0.jpg;[850, 638];circular_saw;[165, 415, 225.5, 446.5];1905.75;index_finger
112;data/roboflow/allen_12_jpg.rf.d2442148d7fb66f0c553106bd546fde5.jpg;[225, 169];allen_key;[61, 128, 125.31, 168.55];2607.771;four_finger
113;data/roboflow/drill_10_jpg.rf.617b871bde9bf6d7f74ce46376ba9677.jpg;[616, 462];drill;[188, 287, 217.23, 300.84];404.543;index_finger
114;data/roboflow/screwdriver_17_jpg.rf.6f3ba1391076f55e6d1477d0a2a04490.jpg;[300, 400];screwdriver;[222, 132, 361.33000000000004, 186.66];7615.778;four_finger
115;data/roboflow/nail_10_jpg.rf.e8c10c27adad7180f857ed963ee8ea4d.jpg;[250, 250];nail_gun;[124, 135, 134.83, 146.04];119.563;index_finger
116;data/roboflow/wrench_14_jpg.rf.311eeee1f50a33d7ba19b31e3cff11b1.jpg;[2000, 2000];wrench;[790, 1160, 946.67, 1865];110452.35;four_finger
117;data/roboflow/wacker_4_jpg.rf.8b58c303a0be79b0bf5eb1787863c3ab.jpg;[900, 1200];weed_wacker;[646, 436, 695, 454];882.0;index_finger
118;data/roboflow/wrench_15_jpg.rf.42f8c7c01944ef48270def696cf1043d.jpg;[1200, 1200];wrench;[76, 141, 590, 565];217936.0;four_finger
119;data/roboflow/hammer_1_jpg.rf.55e5712fb05f7db21a76e912587ec234.jpg;[194, 259];hammer;[120, 82, 244.38, 110.13];3498.809;four_finger
120;data/roboflow/screwdriver_1_jpg.rf.f272de78412ad2c531057645ec07c61e.jpg;[500, 375];screwdriver;[66, 262, 157.56, 321.06];5407.534;four_finger
121;data/roboflow/allen_19_jpg.rf.00ae41782552de95b6dbe42a2033dd17.jpg;[480, 360];allen_key;[134, 145, 225.17000000000002, 303.83000000000004];14480.531;four_finger
122;data/roboflow/drill_13_jpg.rf.52f030bf69a62861b2393732da0e9827.jpg;[1200, 1200];drill;[307, 312, 393, 430];10148.0;index_finger
123;data/roboflow/hammer_17_jpg.rf.d4b91f72a62fc90a8873256c5bf4bc3c.jpg;[1600, 752];hammer;[337, 828, 468.66999999999996, 1453.83];82403.036;four_finger
124;data/roboflow/drill_4_jpg.rf.4248ac48968ef128b497e218c7a23095.jpg;[400, 600];drill;[222, 180, 234.5, 201];262.5;index_finger
125;data/roboflow/drill_19_jpg.rf.75f6f2ec74b675459c112a2a9161f551.jpg;[500, 500];drill;[240, 274, 259.16, 309.42];678.647;index_finger
126;data/roboflow/saw_8_jpg.rf.be9b0007f6a223a997ebd5619bfe44dc.jpg;[500, 500];circular_saw;[109, 212, 138.59, 230.75];554.813;index_finger
127;data/roboflow/glue_0_jpg.rf.5cb7eab2a906d41299bc60c6d9b206be.jpg;[2000, 2000];glue_gun;[715, 1243, 1100, 1324.67];31442.95;index_finger
128;data/roboflow/saw_7_jpg.rf.109812051e475e298545865a31ed87f6.jpg;[1000, 1000];circular_saw;[354, 626, 385.67, 660.16];1081.847;index_finger
129;data/roboflow/nail_0_jpg.rf.cf3d235e94862258918057e38236c8dd.jpg;[900, 1200];nail_gun;[554, 394, 578, 459];1560.0;index_finger
130;data/roboflow/glue_19_jpg.rf.d413783fc14438fec0222b1250d37c98.jpg;[259, 194];glue_gun;[98, 104, 123.31, 128.22];613.008;index_finger
131;data/roboflow/screwdriver_3_jpg.rf.3a333c42804a68966bea544528966317.jpg;[612, 612];screwdriver;[116, 274, 321, 334.5];12402.5;four_finger
132;data/roboflow/drill_2_jpg.rf.1a5212189e5706880c9479850bc0fc97.jpg;[1200, 1600];drill;[673, 541, 783, 618.5];8525.0;index_finger
133;data/roboflow/wrench_0_jpg.rf.968d82377e09dd33302425888696c200.jpg;[3000, 2400];wrench;[227, 2092, 817, 2792];413000.0;four_finger
134;data/roboflow/glue_14_jpg.rf.ef00da097967ccc7af96873d9d3dc333.jpg;[200, 200];glue_gun;[77, 75, 100.23, 79.04];93.849;index_finger
135;data/roboflow/wrench_2_jpg.rf.a2afaa627952c8b40ba0f8ae446395f4.jpg;[900, 1200];wrench;[457, 340, 1025, 728];220384.0;four_finger
136;data/roboflow/glue_17_jpg.rf.db2f88c43c959eebeeaaa9c9a5512e5c.jpg;[200, 200];glue_gun;[77, 75, 99.74, 80.65];128.481;index_finger
137;data/roboflow/drill_18_jpg.rf.0f42ffb7f664acc515f8d2a839cb54ca.jpg;[900, 1200];drill;[525, 491, 612, 545];4698.0;index_finger
138;data/roboflow/wacker_13_jpg.rf.6d69a2148e91250045526bbc78181b15.jpg;[2003, 1600];weed_wacker;[138, 1705, 170.5, 1752.5];1543.75;index_finger
139;data/roboflow/wacker_0_jpg.rf.86c904f3270e1c14d2dc09cd4c07c125.jpg;[1200, 900];weed_wacker;[374, 700, 390.43, 755.71];915.315;index_finger
140;data/roboflow/screwdriver_9_jpg.rf.75fc1ec75dcf784c3571c406697000b1.jpg;[194, 259];screwdriver;[23, 68, 111.54, 104.46000000000001];3228.168;four_finger
141;data/roboflow/nail_2_jpg.rf.17dbc55b6601a8b0ad44d388c3685117.jpg;[509, 634];nail_gun;[302, 217, 338, 251.5];1242.0;index_finger
142;data/roboflow/hammer_6_jpg.rf.d97604e1b053a8bb69c2abccd9896ef5.jpg;[400, 300];hammer;[123, 119, 159.5, 331];7738.0;four_finger
143;data/roboflow/hammer_7_jpg.rf.f20fc313f9dc5bcf87ab92fa78e56629.jpg;[400, 300];hammer;[132, 20, 196.5, 301.94];18185.13;four_finger
144;data/roboflow/wrench_12_jpg.rf.327c0c64c489bb9a731ba4043353d7d4.jpg;[2000, 2000];wrench;[885, 855, 1825, 1151.67];278869.8;four_finger
145;data/roboflow/hammer_19_jpg.rf.ed319d2dccdb410a674538614e984936.jpg;[225, 225];hammer;[93, 127, 117.26, 208.48000000000002];1976.705;four_finger
146;data/roboflow/solder_3_jpg.rf.059fb280e11c0615605b82aaf38b56b4.jpg;[500, 337];solder_iron;[134, 126, 178.45, 247.67000000000002];5408.231;four_finger
147;data/roboflow/nail_6_jpg.rf.c51a692ff3a2a1695c888862840f1a2e.jpg;[2048, 1365];nail_gun;[595, 1006, 668.75, 1054.75];3595.313;index_finger
148;data/roboflow/wacker_14_jpg.rf.c259733b8d02dd602401799e3ef77391.jpg;[749, 597];weed_wacker;[370, 475, 397, 494];513.0;index_finger
149;data/roboflow/wrench_9_jpg.rf.99d3f0caf4e8770424aff1ca539b3718.jpg;[960, 390];wrench;[97, 44, 213, 404.5];41818.0;four_finger
150;data/roboflow/allen_7_jpg.rf.de65912c03b4e399bca10e2cbcb7f960.jpg;[263, 192];allen_key;[16, 193, 86.94, 244.72];3669.017;four_finger
151;data/roboflow/solder_13_jpg.rf.b89dfb4e46d0332a54ff47bf1e190eb8.jpg;[168, 300];solder_iron;[81, 103, 189.75, 133];3262.5;four_finger
152;data/roboflow/glue_15_jpg.rf.3aef761c7936e5cd086ab3a3f820f823.jpg;[566, 415];glue_gun;[228, 300, 287, 326];1534.0;index_finger
153;data/roboflow/wacker_11_jpg.rf.9b7cd2ed30ebc8fce262d956d6adc4a2.jpg;[800, 450];weed_wacker;[191, 263, 203.08, 274.25];135.9;index_finger
154;data/roboflow/drill_3_jpg.rf.3f880ad07c21569127b115ff86dda4f7.jpg;[1000, 690];drill;[418, 472, 507.45, 550.89];7056.711;index_finger
155;data/roboflow/solder_16_jpg.rf.243d99cf2b83a48bff1aaae682347418.jpg;[450, 338];solder_iron;[111, 72, 158.78, 245.61];8295.086;four_finger
156;data/roboflow/nail_8_jpg.rf.b5946764e32598fedd52ef0a14f46135.jpg;[1512, 1600];nail_gun;[680, 893, 782.5, 934.25];4228.125;index_finger
157;data/roboflow/saw_12_jpg.rf.0de55e62c07a477107d925b033af221e.jpg;[1200, 800];circular_saw;[310, 910, 347.5, 930.63];773.625;index_finger
158;data/roboflow/nail_17_jpg.rf.f25272b787dcfa80488008918f505907.jpg;[1080, 810];nail_gun;[309, 463, 335.88, 502.38];1058.534;index_finger
159;data/roboflow/allen_14_jpg.rf.f0cb183b90bffc8b7187076abf866549.jpg;[1500, 1500];allen_key;[543, 505, 809.25, 1133.75];167404.688;four_finger
160;data/roboflow/screwdriver_2_jpg.rf.6aa70b18945100e04471d37e76e9fdc3.jpg;[900, 1200];screwdriver;[219, 478, 455, 746];63248.0;four_finger
161;data/roboflow/allen_4_jpg.rf.8e83c5d669993fb6fc2ec8b911561b57.jpg;[800, 532];allen_key;[50, 31, 157.5, 268.08000000000004];25486.1;four_finger
162;data/roboflow/nail_12_jpg.rf.01340587ec8332697c7a2250fc2b3def.jpg;[169, 225];nail_gun;[87, 111, 98.85, 120.26];109.731;index_finger
