,img_id,img_path,text_output,pred_bbox,pred_bbox_area,target_bbox,iou
24,24,data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg,"```json\n                                                                                  [696, 36, 941, 283]\n                                                                                  ```","[696.0, 36.0, 941.0, 283.0]",60515.0,"[118.0, 115.0, 313.33000000000004, 281.0]",0.0
25,25,data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg,"```json\n                                                                                  [470,467,816,698]\n                                                                                  ```","[470.0, 467.0, 816.0, 698.0]",79926.0,"[437.0, 289.0, 626.0, 491.0]",0.03273871983210913
26,26,data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg,"```json\n                                                                                  [386, 99, 806, 506]\n                                                                                  ```","[386.0, 99.0, 806.0, 506.0]",170940.0,"[169.0, 469.0, 559.0, 739.8399999999999]",0.023692788079651594
27,27,data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg,"```json\n                                                                                  [431, 28, 625, 120]\n                                                                                  ```","[431.0, 28.0, 625.0, 120.0]",17848.0,"[184.0, 631.0, 1170.0, 722.0]",0.0
28,28,data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg,"```json\n                                                                                  [67,458,488,542]\n                                                                                  ```","[67.0, 458.0, 488.0, 542.0]",35364.0,"[500.0, 62.0, 588.89, 299.78]",0.0
29,29,data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg,"```json\n                                                                                  [145,270,429,466]\n                                                                                  ```","[145.0, 270.0, 429.0, 466.0]",55664.0,"[93.0, 33.0, 125.82, 68.16]",0.0
30,30,data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg,"```json\n                                                                                  [279, 477, 505, 860]\n                                                                                  ```","[279.0, 477.0, 505.0, 860.0]",86558.0,"[306.0, 403.0, 691.0, 700.0]",0.2835120043954359
31,31,data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg,"```json\n                                                                                  [384,587,426,644]\n                                                                                  ```","[384.0, 587.0, 426.0, 644.0]",2394.0,"[678.0, 620.0, 742.0, 646.0]",0.0
32,32,data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg,"```json\n                                                                                  [88,409,602,579]\n                                                                                  ```","[88.0, 409.0, 602.0, 579.0]",87380.0,"[129.0, 54.0, 195.0, 368.0]",0.0
33,33,data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg,"```json\n                                                                                  [61,328,342,756]\n                                                                                  ```","[61.0, 328.0, 342.0, 756.0]",120268.0,"[805.0, 195.0, 1862.5, 567.5]",0.0
34,34,data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg,"```json\n                                                                                  [270,466,347,546]\n                                                                                  ```","[270.0, 466.0, 347.0, 546.0]",6160.0,"[110.0, 97.0, 137.34, 123.1]",0.0
35,35,data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg,"```json\n                                                                                  [146,236,586,506]\n                                                                                  ```","[146.0, 236.0, 586.0, 506.0]",118800.0,"[140.0, 282.0, 222.0, 579.0]",0.13497185443589946
36,36,data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg,"```json\n                                                                                  [81,635,507,746]\n                                                                                  ```","[81.0, 635.0, 507.0, 746.0]",47286.0,"[664.0, 104.0, 750.87, 354.0]",0.0
37,37,data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg,"```json\n                                                                                  [301,330,439,709]\n                                                                                  ```","[301.0, 330.0, 439.0, 709.0]",52302.0,"[1388.0, 1045.0, 2438.0, 1485.0]",0.0
38,38,data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg,"```json\n                                                                                  [13,318,288,833]\n                                                                                  ```","[13.0, 318.0, 288.0, 833.0]",141625.0,"[217.0, 14.0, 581.1700000000001, 105.66]",0.0
39,39,data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg,"```json\n                                                                                  [286,453,382,536]\n                                                                                  ```","[286.0, 453.0, 382.0, 536.0]",7968.0,"[276.0, 141.0, 313.33, 162.0]",0.0
40,40,data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg,"```json\n                                                                                  [76,388,132,457]\n                                                                                  ```","[76.0, 388.0, 132.0, 457.0]",3864.0,"[407.0, 116.0, 423.67, 177.66]",0.0
41,41,data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg,"```json\n                                                                                  [462,353,521,439]\n                                                                                  ```","[462.0, 353.0, 521.0, 439.0]",5074.0,"[290.0, 487.0, 424.15999999999997, 537.0]",0.0
42,42,data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg,"```json\n                                                                                  [375,536,784,679]\n                                                                                  ```","[375.0, 536.0, 784.0, 679.0]",58487.0,"[341.0, 379.0, 381.63, 592.13]",0.005573128176651113
43,43,data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg,"```json\n                                                                                  [546,430,920,580]\n                                                                                  ```","[546.0, 430.0, 920.0, 580.0]",56100.0,"[308.0, 686.0, 411.0, 1165.0]",0.0
44,44,data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg,"```json\n                                                                                  [162,383,233,513]\n                                                                                  ```","[162.0, 383.0, 233.0, 513.0]",9230.0,"[430.0, 230.0, 483.0, 298.0]",0.0
45,45,data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg,"```json\n                                                                                  [426, 469, 789, 560]\n                                                                                  ```","[426.0, 469.0, 789.0, 560.0]",33033.0,"[432.0, 500.0, 518.0, 967.0]",0.07584331594032483
46,46,data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg,"```json\n                                                                                  [552,105,610,879]\n                                                                                  ```","[552.0, 105.0, 610.0, 879.0]",44892.0,"[143.0, 550.0, 855.5, 619.17]",0.04449525815608964
47,47,data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg,"```json\n                                                                                  [507,487,574,568]\n                                                                                  ```","[507.0, 487.0, 574.0, 568.0]",5427.0,"[679.0, 429.0, 708.28, 506.86]",0.0
48,48,data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg,"```json\n                                                                                  [17, 20, 187, 465]\n                                                                                  ```","[17.0, 20.0, 187.0, 465.0]",75650.0,"[33.0, 32.0, 119.25, 113.75]",0.09320472571050892
49,49,data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg,"```json\n                                                                                  [260,290,368,410]\n                                                                                  ```","[260.0, 290.0, 368.0, 410.0]",12960.0,"[138.0, 233.0, 180.5, 382.16999999999996]",0.0
50,50,data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg,"```json\n                                                                                  [167,166,517,526]\n                                                                                  ```","[167.0, 166.0, 517.0, 526.0]",126000.0,"[50.0, 55.0, 117.96, 94.07]",0.0
51,51,data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg,"```json\n                                                                                  [399, 399, 431, 429]\n                                                                                  ```","[399.0, 399.0, 431.0, 429.0]",960.0,"[935.0, 765.0, 986.25, 811.25]",0.0
52,52,data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg,"```json\n                                                                                  [312,488,362,542]\n                                                                                  ```","[312.0, 488.0, 362.0, 542.0]",2700.0,"[357.0, 221.0, 377.71, 232.43]",0.0
53,53,data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg,"```json\n                                                                                  [275,383,338,460]\n                                                                                  ```","[275.0, 383.0, 338.0, 460.0]",4851.0,"[104.0, 66.0, 116.96000000000001, 85.26]",0.0
54,54,data/roboflow/saw_19_jpg.rf.8f47d8dbf342a941d9de7a54cd7d4ef8.jpg,"```json\n                                                                                  [70,645,125,728]\n                                                                                  ```","[70.0, 645.0, 125.0, 728.0]",4565.0,"[244.0, 42.0, 267.12, 47.31]",0.0
55,55,data/roboflow/drill_6_jpg.rf.3f895b36079933bf8e2e59fbbb0bcc0a.jpg,"```json\n                                                                                  [487,376,560,485]\n                                                                                  ```","[487.0, 376.0, 560.0, 485.0]",7957.0,"[646.0, 437.0, 661.0, 509.15]",0.0
56,56,data/roboflow/hammer_4_jpg.rf.be49520bcdc487c23b0f5cdfc8555d03.jpg,"```json\n                                                                                  [467, 500, 568, 963]\n                                                                                  ```","[467.0, 500.0, 568.0, 963.0]",46763.0,"[112.0, 107.0, 218.48000000000002, 129.03]",0.0
57,57,data/roboflow/allen_6_jpg.rf.e32dab49b55efbfb4ef83c50b633003f.jpg,"```json\n                                                                                  [150,270,300,808]\n                                                                                  ```","[150.0, 270.0, 300.0, 808.0]",80700.0,"[102.0, 68.0, 284.31, 143.76999999999998]",0.0
58,58,data/roboflow/nail_1_jpg.rf.ca3b1c00b4cee0fd6983ddacc4edd612.jpg,"```json\n                                                                                  [483,384,536,440]\n                                                                                  ```","[483.0, 384.0, 536.0, 440.0]",2968.0,"[335.0, 351.0, 364.5, 384.0]",0.0
59,59,data/roboflow/screwdriver_6_jpg.rf.e8fbf1ef6ec0bca566d011cc989bcbc9.jpg,"```json\n                                                                                  [330,310,928,928]\n                                                                                  ```","[330.0, 310.0, 928.0, 928.0]",369564.0,"[545.0, 478.0, 898.5699999999999, 778.0]",0.2870165925252459
60,60,data/roboflow/saw_10_jpg.rf.369ecf7a1cbcd7bee2dd4631e4e7cd77.jpg,"```json\n                                                                                  [225,790,272,848]\n                                                                                  ```","[225.0, 790.0, 272.0, 848.0]",2726.0,"[784.0, 209.0, 804.62, 249.0]",0.0
61,61,data/roboflow/solder_18_jpg.rf.f3ae27d2c6d71f6cdae4c97a5da3103e.jpg,"```json\n                                                                                  [166, 78, 502, 650]\n                                                                                  ```","[166.0, 78.0, 502.0, 650.0]",192192.0,"[44.0, 73.0, 115.48, 128.56]",0.0
62,62,data/roboflow/wrench_4_jpg.rf.1bc53859ca2ff1f67ea1c393537bae51.jpg,"```json\n                                                                                  [569,604,891,896]\n                                                                                  ```","[569.0, 604.0, 891.0, 896.0]",94024.0,"[597.0, 403.0, 914.86, 761.5699999999999]",0.286537903079048
63,63,data/roboflow/wacker_3_jpg.rf.43e9ae0cfc9d836d36e66e0220e97f1f.jpg,"```json\n                                                                                  [454,290,489,346]\n                                                                                  ```","[454.0, 290.0, 489.0, 346.0]",1960.0,"[217.0, 522.0, 252.82999999999998, 535.33]",0.0
64,64,data/roboflow/allen_3_jpg.rf.f452a3b83561eb67c6141ea368168648.jpg,"```json\n                                                                                  [248,117,732,890]\n                                                                                  ```","[248.0, 117.0, 732.0, 890.0]",374132.0,"[142.0, 170.0, 555.5, 423.5]",0.1943906903439625
65,65,data/roboflow/wacker_5_jpg.rf.534ac3f6e093b02ebc610cf9b31141c3.jpg,"```json\n                                                                                  [452,722,481,758]\n                                                                                  ```","[452.0, 722.0, 481.0, 758.0]",1044.0,"[898.0, 582.0, 937.0, 597.0]",0.0
66,66,data/roboflow/screwdriver_7_jpg.rf.fef662b242509997a0395209c9f8f941.jpg,"```json\n                                                                                  [37,428,214,516]\n                                                                                  ```","[37.0, 428.0, 214.0, 516.0]",15576.0,"[173.0, 17.0, 204.34, 68.33]",0.0
67,67,data/roboflow/hammer_10_jpg.rf.295b81df7c4e3044a1fa86ecb6959009.jpg,"```json\n                                                                                  [455, 486, 556, 917]\n                                                                                  ```","[455.0, 486.0, 556.0, 917.0]",43531.0,"[523.0, 512.0, 976.3399999999999, 595.33]",0.035004612812352016
68,68,data/roboflow/wrench_10_jpg.rf.dc0edb1bb8d02dc9c1059b588df7d8f0.jpg,"```json\n                                                                                  [252,681,401,988]\n                                                                                  ```","[252.0, 681.0, 401.0, 988.0]",45743.0,"[913.0, 300.0, 1244.0, 540.0]",0.0
69,69,data/roboflow/hammer_18_jpg.rf.dfe188c41f795463dbcc7babd994c330.jpg,"```json\n                                                                                  [479,428,947,536]\n                                                                                  ```","[479.0, 428.0, 947.0, 536.0]",50544.0,"[127.0, 195.0, 168.32999999999998, 383.66999999999996]",0.0
70,70,data/roboflow/screwdriver_5_jpg.rf.575f3ba9ba3035af307fe1c80d0066f1.jpg,"```json\n                                                                                  [456,593,648,949]\n                                                                                  ```","[456.0, 593.0, 648.0, 949.0]",68352.0,"[1590.0, 775.0, 2378.75, 1097.5]",0.0
71,71,data/roboflow/screwdriver_10_jpg.rf.e90b90d3657072e118d91fa1188f2e8e.jpg,"```json\n                                                                                  [16,368,576,688]\n                                                                                  ```","[16.0, 368.0, 576.0, 688.0]",179200.0,"[101.0, 9.0, 166.70999999999998, 177.21]",0.0
72,72,data/roboflow/saw_5_jpg.rf.251577bb54d32d45d70b87498870b6c5.jpg,"```json\n                                                                                  [180,458,231,518]\n                                                                                  ```","[180.0, 458.0, 231.0, 518.0]",3060.0,"[585.0, 157.0, 631.43, 190.57]",0.0
73,73,data/roboflow/saw_17_jpg.rf.5ce2bac53e73010826e4a9de3af91fc9.jpg,"```json\n                                                                                  [78, 310, 170, 456]\n                                                                                  ```","[78.0, 310.0, 170.0, 456.0]",13432.0,"[166.0, 119.0, 184.64, 147.64]",0.0
74,74,data/roboflow/wacker_17_jpg.rf.59bbe305aa8c51bfde475e59faba15a3.jpg,"```json\n                                                                                  [266,768,300,818]\n                                                                                  ```","[266.0, 768.0, 300.0, 818.0]",1700.0,"[1135.0, 465.0, 1212.5, 493.75]",0.0
75,75,data/roboflow/solder_19_jpg.rf.6ba82ef7654945a115827964553b9f86.jpg,"```json\n                                                                                  [455, 376, 700, 718]\n                                                                                  ```","[455.0, 376.0, 700.0, 718.0]",83790.0,"[288.0, 223.0, 398.0, 310.90999999999997]",0.0
76,76,data/roboflow/screwdriver_0_jpg.rf.47ddc4bdab6af5228c6456ea355534b8.jpg,"```json\n                                                                                  [66,119,428,539]\n                                                                                  ```","[66.0, 119.0, 428.0, 539.0]",152040.0,"[47.0, 44.0, 132.34, 150.32999999999998]",0.01306896052378656
77,77,data/roboflow/saw_11_jpg.rf.ef778852807d9700d37342481a46b674.jpg,"```json\n                                                                                  [551,587,602,646]\n                                                                                  ```","[551.0, 587.0, 602.0, 646.0]",3009.0,"[477.0, 357.0, 543.0, 372.5]",0.0
78,78,data/roboflow/wacker_1_jpg.rf.3aa1825fc5e85db70c628bbff2cef848.jpg,"```json\n                                                                                  [481,467,522,516]\n                                                                                  ```","[481.0, 467.0, 522.0, 516.0]",2009.0,"[406.0, 334.0, 440.5, 356.0]",0.0
79,79,data/roboflow/wrench_3_jpg.rf.5688e17fbf1f3fa1e675f1780e9bcdee.jpg,"```json\n                                                                                  [201, 491, 281, 693]\n                                                                                  ```","[201.0, 491.0, 281.0, 693.0]",16160.0,"[496.0, 331.0, 566.0, 974.0]",0.0
80,80,data/roboflow/nail_18_jpg.rf.ca0aa65b5b35c49485de3519192627e9.jpg,"```json\n                                                                                  [582,602,637,662]\n                                                                                  ```","[582.0, 602.0, 637.0, 662.0]",3300.0,"[1350.0, 723.0, 1400.0, 848.0]",0.0
81,81,data/roboflow/nail_4_jpg.rf.004c821c0b80d982e00465f2ec4ce69f.jpg,"```json\n                                                                                  [396, 587, 462, 670]\n                                                                                  ```","[396.0, 587.0, 462.0, 670.0]",5478.0,"[117.0, 135.0, 124.71, 145.83]",0.0
82,82,data/roboflow/allen_16_jpg.rf.56825daea3cb1ce94eb216620f07142a.jpg,"```json\n                                                                                  [131, 588, 926, 726]\n                                                                                  ```","[131.0, 588.0, 926.0, 726.0]",109710.0,"[118.0, 44.0, 141.96, 240.04]",0.0
83,83,data/roboflow/solder_15_jpg.rf.9fe111e492dc5f76a67f271c63763cfc.jpg,"```json\n                                                                                  [469,420,701,649]\n                                                                                  ```","[469.0, 420.0, 701.0, 649.0]",53128.0,"[263.0, 481.0, 347.37, 667.88]",0.0
84,84,data/roboflow/solder_6_jpg.rf.95a632bd111bc3f1f074edf23bbac04e.jpg,"```json\n                                                                                  [667, 418, 791, 604]\n                                                                                  ```","[667.0, 418.0, 791.0, 604.0]",23064.0,"[148.0, 111.0, 223.16, 135.38]",0.0
85,85,data/roboflow/saw_9_jpg.rf.4a74dcc308d112ff86028beeb86ebd1b.jpg,"```json\n                                                                                  [233,777,281,863]\n                                                                                  ```","[233.0, 777.0, 281.0, 863.0]",4128.0,"[939.0, 253.0, 970.43, 305.85]",0.0
86,86,data/roboflow/hammer_13_jpg.rf.b9cecdc13f6529d4aa2a4aa8a5373dec.jpg,"```json\n                                                                                  [376,168,645,984]\n                                                                                  ```","[376.0, 168.0, 645.0, 984.0]",219504.0,"[231.0, 208.0, 1251.63, 340.49]",0.11169292000757661
87,87,data/roboflow/wacker_6_jpg.rf.b216f2fd6df84d287d59f61952666bab.jpg,"```json\n                                                                                  [395, 506, 428, 552]\n                                                                                  ```","[395.0, 506.0, 428.0, 552.0]",1518.0,"[138.0, 169.0, 153.28, 176.78]",0.0
88,88,data/roboflow/saw_1_jpg.rf.dabeec130f46a0ed64b7181f627e80b4.jpg,"```json\n                                                                                  [180, 346, 232, 409]\n                                                                                  ```","[180.0, 346.0, 232.0, 409.0]",3276.0,"[403.0, 259.0, 475.14, 299.0]",0.0
89,89,data/roboflow/hammer_9_jpg.rf.ae9639e7c8ea7a8f852d0d0c52054069.jpg,"```json\n                                                                                  [483,546,578,878]\n                                                                                  ```","[483.0, 546.0, 578.0, 878.0]",31540.0,"[567.0, 502.0, 948.6700000000001, 586.17]",0.006989037943813927
90,90,data/roboflow/wrench_7_jpg.rf.d641a5052e86bd3f20db3e0a60202807.jpg,"```json\n                                                                                  [102,68,762,988]\n                                                                                  ```","[102.0, 68.0, 762.0, 988.0]",607200.0,"[111.0, 80.0, 306.25, 168.5]",0.028457880434782607
91,91,data/roboflow/wacker_9_jpg.rf.1ca5109d13dd10dc9dff8247d6651c6d.jpg,"```json\n                                                                                  [442,654,476,700]\n                                                                                  ```","[442.0, 654.0, 476.0, 700.0]",1564.0,"[1194.0, 696.0, 1219.0, 710.0]",0.0
92,92,data/roboflow/wacker_7_jpg.rf.70fd0164c6c486da49500c41f7938930.jpg,"```json\n                                                                                  [669, 88, 728, 156]\n                                                                                  ```","[669.0, 88.0, 728.0, 156.0]",4012.0,"[47.0, 236.0, 64.22, 246.0]",0.0
93,93,data/roboflow/wacker_12_jpg.rf.6e0fca0ef35537788d49e48c6aadcb74.jpg,"```json\n                                                                                  [384,530,419,577]\n                                                                                  ```","[384.0, 530.0, 419.0, 577.0]",1645.0,"[985.0, 698.0, 1032.5, 719.25]",0.0
94,94,data/roboflow/glue_11_jpg.rf.70118f43562387f2c89ace63f2c4dd9e.jpg,"```json\n                                                                                  [386,588,442,666]\n                                                                                  ```","[386.0, 588.0, 442.0, 666.0]",4368.0,"[608.0, 665.0, 721.75, 735.0]",0.0
95,95,data/roboflow/wacker_18_jpg.rf.8860d00066a92ef5c0ab20cd5f7352ba.jpg,"```json\n                                                                                  [272,386,318,425]\n                                                                                  ```","[272.0, 386.0, 318.0, 425.0]",1794.0,"[739.0, 188.0, 757.75, 206.75]",0.0
96,96,data/roboflow/glue_12_jpg.rf.c0123478d172c7a1a85ab00b021bc6c1.jpg,"```json\n                                                                                  [550,486,607,592]\n                                                                                  ```","[550.0, 486.0, 607.0, 592.0]",6042.0,"[194.0, 318.0, 232.19, 350.27]",0.0
97,97,data/roboflow/glue_1_jpg.rf.da77fbeb1a8f03ddfd89710b581a10aa.jpg,"```json\n                                                                                  [538,412,702,518]\n                                                                                  ```","[538.0, 412.0, 702.0, 518.0]",17384.0,"[237.0, 326.0, 278.5, 416.0]",0.0
98,98,data/roboflow/wacker_8_jpg.rf.4681371591f966572891d1617b75503a.jpg,"```json\n                                                                                  [480,351,520,393]\n                                                                                  ```","[480.0, 351.0, 520.0, 393.0]",1680.0,"[297.0, 267.0, 322.0, 285.64]",0.0
99,99,data/roboflow/drill_5_jpg.rf.ce91003ea2dbd3846b483be0452e5f5a.jpg,"```json\n                                                                                  [602,231,666,312]\n                                                                                  ```","[602.0, 231.0, 666.0, 312.0]",5184.0,"[184.0, 138.0, 193.47, 153.52]",0.0
100,100,data/roboflow/solder_2_jpg.rf.33e64abc8c3f90f08df71b0827cdae07.jpg,"```json\n                                                                                  [386,300,631,726]\n                                                                                  ```","[386.0, 300.0, 631.0, 726.0]",104370.0,"[215.0, 161.0, 269.65999999999997, 203.32999999999998]",0.0
101,101,data/roboflow/wrench_5_jpg.rf.779c6debdb052cede0d2543998297605.jpg,"```json\n                                                                                  [466,169,542,428]\n                                                                                  ```","[466.0, 169.0, 542.0, 428.0]",19684.0,"[245.0, 544.0, 909.0, 695.0]",0.0
