img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
10;grasp_vlm_dataset/darts4_jpg.rf.e185762bf6904ef83bb9ff868a62c979.jpg;{'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.432468505859375, 0.49115325927734377, 0.6045187377929687, 0.5388110961914062]};{'index': {'x_1': 0.451, 'y_1': 0.491, 'x_2': 0.5575, 'y_2': 0.5035}, 'thumb': {'x_1': 0.455, 'y_1': 0.518, 'x_2': 0.556, 'y_2': 0.5325}};{'index': 0.0, 'thumb': 0.17860753915766367};[['index finger grasping point on the dart'], ['thumb finger grasping point on the dart']]
11;grasp_vlm_dataset/bowl_ball9_jpg.rf.0a63e27d943cccfc0fc830f2e4e163af.jpg;{'index': [0.1381074676513672, 0.15070376586914064, 0.8854705810546875, 0.75010595703125], 'thumb': [0.1381074676513672, 0.15070376586914064, 0.8854705810546875, 0.75010595703125]};{'thumb': {'x_1': 0.067, 'y_1': 0.521, 'x_2': 0.1485, 'y_2': 0.628}, 'index': {'x_1': 0.618, 'y_1': 0.629, 'x_2': 0.7445, 'y_2': 0.7465}};{'index': 0.03318015471504763, 'thumb': 0.0024408489614270185};[['index finger grasping point on the bowling ball'], ['thumb finger grasping point on the bowling ball']]
12;grasp_vlm_dataset/screwdriver_12_jpg.rf.ab37f13129d7e7b02a4ca26782785fb6.jpg;{'hand': [0.45674862670898436, 0.1500229034423828, 0.5484776611328125, 0.5057537231445313]};{'handle': {'x_1': 0.463, 'y_1': 0.054, 'x_2': 0.5435, 'y_2': 0.4915}};{'hand': 0.6810812057009759};[['entire hand grasping point on the screwdriver']]
13;grasp_vlm_dataset/drill_4_jpg.rf.eee2451241d6df5a9586a83792685b3c.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.45, 'y_1': 0.369, 'x_2': 0.5025, 'y_2': 0.39}};{'index': 0.0};[['index finger pressing point on the power drill']]
14;grasp_vlm_dataset/allen_19_jpg.rf.864dd896f0a038dd96e4470bcfd91f6c.jpg;{'hand': [0.278519287109375, 0.3453377380371094, 0.8028116455078125, 0.6354532470703125]};{'handle': {'x_1': 0.28, 'y_1': 0.361, 'x_2': 0.6515, 'y_2': 0.632}};{'hand': 0.6618866705264752};[['entire hand grasping point on the allen key']]
15;grasp_vlm_dataset/bolt_cutters5_jpeg.rf.dfd7e7d9d37af37ca6e0f3ff9c35b7fe.jpg;{'left': [0.8970984497070312, 0.014395546913146973, 0.9999742431640625, 0.7593031005859375], 'right': [0.47802487182617187, 0.11306822204589843, 0.6626704711914062, 0.8618187255859375]};{'right': {'x_1': 0.581, 'y_1': 0.057, 'x_2': 0.656, 'y_2': 0.222}, 'left': {'x_1': 0.331, 'y_1': 0.01, 'x_2': 0.425, 'y_2': 0.1925}};{'left': 0.0, 'right': 0.05734917529017059};[['left hand grasping point on the bolt cutters'], ['right hand grasping point on the bolt cutters']]
16;grasp_vlm_dataset/bot_rnd4_jpg.rf.76c8799a9e03f401270000dc4691e1e3.jpg;{'hand': [0.18865402221679686, 0.5464912719726562, 0.936650390625, 0.9995692749023437]};{'handle': {'x_1': 0.409, 'y_1': 0.701, 'x_2': 0.537, 'y_2': 0.815}};{'hand': 0.04305685991702479};[['entire hand grasping point on the bottom drawer with a round handle']]
17;grasp_vlm_dataset/wrench_8_jpg.rf.adc939651c9fb5bc06b5fc7b898bdcc0.jpg;{'hand': [0.11312425231933594, 0.18838021850585937, 0.861423583984375, 0.935936767578125]};{'handle': {'x_1': 0.173, 'y_1': 0.18, 'x_2': 0.894, 'y_2': 0.821}};{'hand': 0.7431325619883056};[['entire hand grasping point on the wrench']]
18;grasp_vlm_dataset/wrench_13_jpg.rf.40b1fa117433ca5a119417d93bb81c0f.jpg;{'hand': [0.30472283935546873, 0.149369384765625, 0.652694091796875, 0.8045643310546875]};{'handle': {'x_1': 0.458, 'y_1': 0.301, 'x_2': 0.6465, 'y_2': 0.795}};{'hand': 0.40843636108556375};[['entire hand grasping point on the wrench']]
19;grasp_vlm_dataset/wrench_16_jpg.rf.12243ea8b26ceccdd1e8319ebcf2e0f0.jpg;{'hand': [0.11302173614501954, 0.27522991943359376, 0.862056396484375, 0.7365789794921875]};{'handle': {'x_1': 0.27, 'y_1': 0.277, 'x_2': 0.863, 'y_2': 0.6205}};{'hand': 0.5879644985405831};[['entire hand grasping point on the wrench']]
20;grasp_vlm_dataset/wrench_1_jpg.rf.7d53a6ddd00fecc434ec65c123a93f3d.jpg;{'hand': [0.1975872344970703, 0.34319012451171876, 0.25271900939941405, 0.4810965576171875]};{'handle': {'x_1': 0.427, 'y_1': 0.441, 'x_2': 0.975, 'y_2': 0.7015}};{'hand': 0.0};[['entire hand grasping point on the wrench']]
21;grasp_vlm_dataset/drill_10_jpg.rf.630a7c5082ccf4850afde2ebfcc67798.jpg;{'index': [0.334654296875, 0.20429855346679687, 0.5442565307617188, 0.36786651611328125]};{'index': {'x_1': 0.466, 'y_1': 0.406, 'x_2': 0.4885, 'y_2': 0.4695}};{'index': 0.0};[['index finger pressing point on the power drill']]
22;grasp_vlm_dataset/rnd_door13_jpg.rf.ae363c424ddbf2d4d88e5f2b6f4efdb8.jpg;{'hand': [0.4249291076660156, 0.4144314270019531, 0.626704345703125, 0.6367503662109375]};{'handle': {'x_1': 0.423, 'y_1': 0.417, 'x_2': 0.6295, 'y_2': 0.638}};{'hand': 0.9606846312298717};[['entire hand grasping point on the door with a round handle']]
23;grasp_vlm_dataset/glue_15_jpg.rf.6a95976744a461ee77b747f9e9c0ea1d.jpg;{'index': [0.09437651824951172, 0.08830790710449218, 0.8359400024414062, 0.8324182739257813]};{'index': {'x_1': 0.53, 'y_1': 0.55, 'x_2': 0.576, 'y_2': 0.692}};{'index': 0.011837513428600418};[['index finger pressing point on the glue gun']]
24;grasp_vlm_dataset/nail_16_jpg.rf.1b707bdb9c03991344eda63f6f11fb61.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.451, 'y_1': 0.348, 'x_2': 0.512, 'y_2': 0.4}};{'index': 0.0};[['index finger pressing point on the nail gun']]
25;grasp_vlm_dataset/syringe17_jpg.rf.390c0d625bb7b8c6d48f8c95621bc59f.jpg;{'index': [0.22501864624023438, 0.1920393524169922, 0.961748046875, 0.7725489501953124], 'thumb': [0.22411375427246094, 0.19268586730957032, 0.9617431640625, 0.77091064453125]};{'thumb': {'x_1': 0.048, 'y_1': 0.124, 'x_2': 0.102, 'y_2': 0.214}, 'index': {'x_1': 0.233, 'y_1': 0.206, 'x_2': 0.334, 'y_2': 0.393}};{'index': 0.044161678757386275, 'thumb': 0.0};[['index finger grasping point on the syringe'], ['thumb finger grasping point on the syringe']]
26;grasp_vlm_dataset/bowl_ball5_jpg.rf.892f5a31c5b2fbe2c81bc9fe8b886e36.jpg;{'index': [0.48551760864257815, 0.06332387924194335, 0.9517806396484375, 0.710393798828125], 'thumb': [0.48506707763671875, 0.06195388031005859, 0.95260986328125, 0.7112850952148437]};{'thumb': {'x_1': 0.554, 'y_1': 0.366, 'x_2': 0.618, 'y_2': 0.4735}, 'index': {'x_1': 0.57, 'y_1': 0.084, 'x_2': 0.673, 'y_2': 0.1495}};{'index': 0.022361263072291134, 'thumb': 0.02266213368926078};[['index finger grasping point on the bowling ball'], ['thumb finger grasping point on the bowling ball']]
27;grasp_vlm_dataset/chainsaw7_jpg.rf.565275ec50efa4026e4e90232c1f2e30.jpg;{'left': [0.0, 0.0, 0.0, 0.0], 'right': [0.0, 0.0, 0.0, 0.0]};{'left': {'x_1': 0.32, 'y_1': 0.417, 'x_2': 0.898, 'y_2': 0.6315}, 'right': {'x_1': 0.536, 'y_1': 0.741, 'x_2': 0.6825, 'y_2': 0.9265}};{'left': 0.0, 'right': 0.0};[['left hand grasping point on the chainsaw'], ['right hand grasping point on the chainsaw']]
28;grasp_vlm_dataset/allen_11_jpg.rf.2b8fb086f4e451a865876d6fc703212d.jpg;{'hand': [0.3162480163574219, 0.06296041107177734, 0.8759048461914063, 0.8113071899414063]};{'handle': {'x_1': 0.329, 'y_1': 0.06, 'x_2': 0.761, 'y_2': 0.174}};{'hand': 0.1141859718960601};[['entire hand grasping point on the allen key']]
29;grasp_vlm_dataset/bolt_cutters15_jpeg.rf.ef42d9509414ad9c8a4903f9dca0cd5b.jpg;{'left': [0.0, 0.0, 0.0, 0.0], 'right': [0.0, 0.0, 0.0, 0.0]};{'right': {'x_1': 0.703, 'y_1': 0.052, 'x_2': 0.82, 'y_2': 0.241}, 'left': {'x_1': 0.228, 'y_1': 0.053, 'x_2': 0.3335, 'y_2': 0.2325}};{'left': 0.0, 'right': 0.0};[['left hand grasping point on the bolt cutters near the green star'], ['right hand grasping point on the bolt cutters']]
30;grasp_vlm_dataset/multimeter12_jpg.rf.3dd21ca931f46f4f909297646de2c6c1.jpg;{'left': [0.0, 0.0, 0.0, 0.0], 'right': [0.0, 0.0, 0.0, 0.0]};{'left': {'x_1': 0.167, 'y_1': 0.649, 'x_2': 0.232, 'y_2': 0.884}, 'right': {'x_1': 0.235, 'y_1': 0.645, 'x_2': 0.3025, 'y_2': 0.8825}};{'left': 0.0, 'right': 0.0};[['left hand grasping point on the multimeter with red and black leads near the green star'], ['right hand grasping point on the multimeter with red and black leads']]
31;grasp_vlm_dataset/top_rnd5_jpg.rf.d99c25f8f9c36e5930a8492b0d5b5a7d.jpg;{'hand': [0.11297361755371094, 0.16357882690429687, 0.8621206665039063, 0.910834716796875]};{'handle': {'x_1': 0.508, 'y_1': 0.3, 'x_2': 0.643, 'y_2': 0.419}};{'hand': 0.02869751621600318};[['entire hand grasping point on the top drawer with a round handle']]
32;grasp_vlm_dataset/wacker_4_jpg.rf.15a736a71eeb7d9dfdbb844dd9933428.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.485, 'y_1': 0.539, 'x_2': 0.505, 'y_2': 0.58}};{'index': 0.0};[['index finger pressing point on the weed wacker']]
33;grasp_vlm_dataset/darts19_jpg.rf.6029ff9335d6fa4f90a81125412346d8.jpg;{'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.023592687606811522, 0.5620713500976563, 0.5623960571289063]};{'index': {'x_1': 0.0, 'y_1': 0.291, 'x_2': 0.4265, 'y_2': 0.467}, 'thumb': {'x_1': 0.0, 'y_1': 0.415, 'x_2': 0.409, 'y_2': 0.537}};{'index': 0.0, 'thumb': 0.16476364331494117};[['index finger grasping point on the dart'], ['thumb finger grasping point on the dart']]
34;grasp_vlm_dataset/nail_5_jpg.rf.c77e61420f71cf91da10ed3daf640b89.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.473, 'y_1': 0.356, 'x_2': 0.525, 'y_2': 0.4265}};{'index': 0.0};[['index finger pressing point on the nail gun']]
35;grasp_vlm_dataset/saw_3_jpg.rf.ad4e2276b34ec00dab9465a14fd8f064.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.405, 'y_1': 0.181, 'x_2': 0.443, 'y_2': 0.2265}};{'index': 0.0};[['index finger pressing point on the circular saw']]
36;grasp_vlm_dataset/allen_7_jpg.rf.ff74d1c9a007a8178cb3005e132148c2.jpg;{'hand': [0.11374547576904297, 0.11297760009765626, 0.859161376953125, 0.8608400268554688]};{'handle': {'x_1': 0.689, 'y_1': 0.035, 'x_2': 0.976, 'y_2': 0.511}};{'hand': 0.10813086730824593};[['entire hand grasping point on the allen key']]
37;grasp_vlm_dataset/allen_12_jpg.rf.6cdaf4594425e8dc2a1050bb4332f572.jpg;{'hand': [5.7021528482437135e-05, 2.2029876708984376e-05, 0.03794499588012695, 0.027642942428588866]};{'handle': {'x_1': 0.474, 'y_1': 0.285, 'x_2': 0.813, 'y_2': 0.885}};{'hand': 0.0};[['entire hand grasping point on the allen key']]
38;grasp_vlm_dataset/bow12_jpg.rf.e8b52a7a2257a75f75559a30a57710f2.jpg;{'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]};{'thumb': {'x_1': 0.495, 'y_1': 0.556, 'x_2': 0.564, 'y_2': 0.6215}, 'index': {'x_1': 0.454, 'y_1': 0.488, 'x_2': 0.5995, 'y_2': 0.578}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the violin bow'], ['thumb finger grasping point on the violin bow']]
39;grasp_vlm_dataset/darts5_jpg.rf.3161a212cec39eb6bc2399b195e56925.jpg;{'index': [0.24396298217773438, 0.14647715759277344, 0.6799066772460938, 0.8647045288085937], 'thumb': [0.24396298217773438, 0.14647715759277344, 0.6799066772460938, 0.8647045288085937]};{'index': {'x_1': 0.411, 'y_1': 0.401, 'x_2': 0.5875, 'y_2': 0.714}, 'thumb': {'x_1': 0.369, 'y_1': 0.42, 'x_2': 0.553, 'y_2': 0.7165}};{'index': 0.1764398559332958, 'thumb': 0.1742409249843313};[['index finger grasping point on the dart'], ['thumb finger grasping point on the dart']]
40;grasp_vlm_dataset/scissors7_jpg.rf.68511979cb77432f90a047d4950ef71b.jpg;{'index': [0.13975274658203124, 0.13873675537109376, 0.885021240234375, 0.8866762084960937], 'thumb': [0.13975274658203124, 0.13873675537109376, 0.885021240234375, 0.8866762084960937]};{'thumb': {'x_1': 0.337, 'y_1': 0.617, 'x_2': 0.5125, 'y_2': 0.8375}, 'index': {'x_1': 0.653, 'y_1': 0.346, 'x_2': 0.931, 'y_2': 0.4975}};{'index': 0.062282726159197756, 'thumb': 0.0694235008726258};[['index finger grasping point on the pair of scissors'], ['thumb finger grasping point on the pair of scissors']]
41;grasp_vlm_dataset/syringe5_jpg.rf.6e7c490c52e71c8a2910186668410100.jpg;{'index': [0.09583692932128907, 0.23379693603515625, 0.6387420654296875, 0.8432296142578125], 'thumb': [0.09858525085449218, 0.21626760864257813, 0.6370812377929688, 0.8434389038085938]};{'thumb': {'x_1': 0.099, 'y_1': 0.712, 'x_2': 0.173, 'y_2': 0.841}, 'index': {'x_1': 0.257, 'y_1': 0.475, 'x_2': 0.3875, 'y_2': 0.665}};{'index': 0.0749401269823772, 'thumb': 0.02826524705965691};[['index finger grasping point on the syringe'], ['thumb finger grasping point on the syringe']]
42;grasp_vlm_dataset/nail_14_jpg.rf.01faa7e4df07e73a9209715b8b0604a1.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.491, 'y_1': 0.576, 'x_2': 0.5085, 'y_2': 0.647}};{'index': 0.0};[['index finger pressing point on the nail gun']]
43;grasp_vlm_dataset/allen_15_jpg.rf.3a8e49f7d79525555e5345172c0a6fdc.jpg;{'hand': [0.012903237342834472, 0.3811330871582031, 0.7619912109375, 0.6214639892578125]};{'handle': {'x_1': 0.143, 'y_1': 0.55, 'x_2': 0.8555, 'y_2': 0.619}};{'hand': 0.22903336973426933};[['entire hand grasping point on the allen key']]
44;grasp_vlm_dataset/bow10_jpg.rf.7b0c0a1dbb49bcc05dbd41266865bb3c.jpg;{'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]};{'thumb': {'x_1': 0.632, 'y_1': 0.37, 'x_2': 0.764, 'y_2': 0.4375}, 'index': {'x_1': 0.672, 'y_1': 0.309, 'x_2': 0.8215, 'y_2': 0.4035}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the violin bow'], ['thumb finger grasping point on the violin bow']]
45;grasp_vlm_dataset/drill_13_jpg.rf.b425d89333a4fa0b054d630a47a1e2d2.jpg;{'index': [0.0015864849090576171, 0.01374523639678955, 0.7053533325195313, 0.7537626342773438]};{'index': {'x_1': 0.26, 'y_1': 0.256, 'x_2': 0.3585, 'y_2': 0.3275}};{'index': 0.013522952965250214};[['index finger pressing point on the power drill']]
46;grasp_vlm_dataset/rnd_door5_jpg.rf.86400b399cc7de6b5d66efc944defff8.jpg;{'hand': [0.7194720458984375, 0.48151617431640625, 0.7407251586914062, 0.5799717407226562]};{'handle': {'x_1': 0.49, 'y_1': 0.483, 'x_2': 0.654, 'y_2': 0.5975}};{'hand': 0.0};[['entire hand grasping point on the door with a round handle']]
47;grasp_vlm_dataset/scissors5_jpg.rf.c74dc93ab50a1d0208a89cd3722c9260.jpg;{'index': [0.17337353515625, 0.2137775421142578, 0.7657753295898437, 0.8012616577148437], 'thumb': [0.17337353515625, 0.2137775421142578, 0.7657753295898437, 0.8012616577148437]};{'thumb': {'x_1': 0.496, 'y_1': 0.249, 'x_2': 0.592, 'y_2': 0.3545}, 'index': {'x_1': 0.563, 'y_1': 0.294, 'x_2': 0.7385, 'y_2': 0.4815}};{'index': 0.09455095045320787, 'thumb': 0.029101220169119497};[['index finger grasping point on the pair of scissors'], ['thumb finger grasping point on the pair of scissors']]
48;grasp_vlm_dataset/vertical_bar10_jpg.rf.892b0af2cbd734c1b2004634872aabe9.jpg;{'hand': [0.2752182312011719, 0.22268638610839844, 0.74966796875, 0.9184302368164062]};{'handle': {'x_1': 0.678, 'y_1': 0.635, 'x_2': 0.693, 'y_2': 0.7075}};{'hand': 0.0032945012628490186};[['entire hand grasping point on the door with a vertical bar handle']]
49;grasp_vlm_dataset/bow14_jpg.rf.71a2fd2cd2d1b27c38de9cab4531960f.jpg;{'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]};{'thumb': {'x_1': 0.802, 'y_1': 0.826, 'x_2': 0.8305, 'y_2': 0.8645}, 'index': {'x_1': 0.761, 'y_1': 0.78, 'x_2': 0.8245, 'y_2': 0.8465}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the violin bow'], ['thumb finger grasping point on the violin bow']]
50;grasp_vlm_dataset/wrench_18_jpg.rf.3779a58974b8e8d42f400c972f63d19f.jpg;{'hand': [0.4336734924316406, 0.2109722900390625, 0.6085111694335937, 0.381612060546875]};{'handle': {'x_1': 0.464, 'y_1': 0.439, 'x_2': 0.904, 'y_2': 0.903}};{'hand': 0.0};[['entire hand grasping point on the wrench']]
51;grasp_vlm_dataset/saw_0_jpg.rf.381ff29e5ee50ca947c0e35bd4b95b51.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.565, 'y_1': 0.517, 'x_2': 0.6185, 'y_2': 0.5385}};{'index': 0.0};[['index finger pressing point on the circular saw']]
52;grasp_vlm_dataset/can_opener6_jpg.rf.777c939aade535d2616ce8e342c68124.jpg;{'left': [0.13870684814453124, 0.24320498657226564, 0.8867771606445313, 0.825286376953125], 'right': [0.13870684814453124, 0.24320498657226564, 0.8867771606445313, 0.825286376953125]};{'right': {'x_1': 0.343, 'y_1': 0.256, 'x_2': 0.99, 'y_2': 0.6965}, 'left': {'x_1': 0.01, 'y_1': 0.469, 'x_2': 0.3955, 'y_2': 0.6915}};{'left': 0.12311903523448113, 'right': 0.49808716860100827};[['left hand grasping point on the can opener'], ['right hand grasping point on the can opener']]
53;grasp_vlm_dataset/bow19_jpg.rf.fc7fd883059b9dacac8880199c665405.jpg;{'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]};{'thumb': {'x_1': 0.188, 'y_1': 0.649, 'x_2': 0.267, 'y_2': 0.7585}, 'index': {'x_1': 0.214, 'y_1': 0.549, 'x_2': 0.337, 'y_2': 0.7605}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the violin bow'], ['thumb finger grasping point on the violin bow']]
54;grasp_vlm_dataset/drill_12_jpg.rf.058fccbb5c588d8a9dfaa38635260228.jpg;{'index': [0.0, 0.0, 0.0, 0.0]};{'index': {'x_1': 0.456, 'y_1': 0.469, 'x_2': 0.5025, 'y_2': 0.508}};{'index': 0.0};[['index finger pressing point on the power drill']]
55;grasp_vlm_dataset/syringe10_jpg.rf.3d523bd81dc1d15dc827aa424ed51584.jpg;{'index': [0.5966217651367187, 0.08989282989501954, 0.65727294921875, 0.3079993286132813], 'thumb': [0.5966217651367187, 0.08989282989501954, 0.65727294921875, 0.3079993286132813]};{'thumb': {'x_1': 0.578, 'y_1': 0.787, 'x_2': 0.675, 'y_2': 0.8095}, 'index': {'x_1': 0.56, 'y_1': 0.596, 'x_2': 0.6905, 'y_2': 0.617}};{'index': 0.0, 'thumb': 0.0};[['index finger grasping point on the syringe'], ['thumb finger grasping point on the syringe']]
56;grasp_vlm_dataset/lever_handle3_jpg.rf.ab85d67053b8eedb15291c06bfb5d761.jpg;{'hand': [0.344067138671875, 0.6459305419921875, 0.4330366821289062, 0.6869193725585937]};{'handle': {'x_1': 0.368, 'y_1': 0.659, 'x_2': 0.435, 'y_2': 0.683}};{'hand': 0.4225588179400771};[['entire hand grasping point on the door with a horizontal lever handle']]
57;grasp_vlm_dataset/scissors12_jpg.rf.f44a95057fd54dffca3524af35df59b8.jpg;{'index': [0.11381485748291016, 0.1408468475341797, 0.8613954467773437, 0.8852168579101563], 'thumb': [0.11381485748291016, 0.1408468475341797, 0.8613954467773437, 0.8852168579101563]};{'thumb': {'x_1': 0.735, 'y_1': 0.277, 'x_2': 0.7985, 'y_2': 0.305}, 'index': {'x_1': 0.248, 'y_1': 0.176, 'x_2': 0.376, 'y_2': 0.2845}};{'index': 0.02495702554879175, 'thumb': 0.0031951030692505536};[['index finger grasping point on the pair of scissors'], ['thumb finger grasping point on the pair of scissors']]
58;grasp_vlm_dataset/chainsaw6_jpg.rf.5b4d8a4ab5366073fdb7429060f2f91b.jpg;{'left': [0.0, 0.0, 0.0, 0.0], 'right': [0.0, 0.0, 0.0, 0.0]};{'right': {'x_1': 0.364, 'y_1': 0.196, 'x_2': 0.4505, 'y_2': 0.3795}, 'left': {'x_1': 0.074, 'y_1': 0.317, 'x_2': 0.2105, 'y_2': 0.5275}};{'left': 0.0, 'right': 0.0};[['left hand grasping point on the chainsaw'], ['right hand grasping point on the chainsaw']]
59;grasp_vlm_dataset/bot_bar9_jpg.rf.30a66623371a1a5721b5e9e370fe14d1.jpg;{'hand': [0.03812296295166016, 0.242316650390625, 0.786431396484375, 0.9867462158203125]};{'handle': {'x_1': 0.111, 'y_1': 0.563, 'x_2': 0.378, 'y_2': 0.7455}};{'hand': 0.08747216531055219};[['entire hand grasping point on the bottom drawer with a horizontal bar handle']]
60;grasp_vlm_dataset/can_opener14_jpg.rf.8757280138abb9bbea8456bad5957885.jpg;{'left': [0.15946730041503906, 0.01574949073791504, 0.4791477355957031, 0.3472231750488281], 'right': [0.0, 0.0, 0.0, 0.0]};{'right': {'x_1': 0.326, 'y_1': 0.128, 'x_2': 0.9715, 'y_2': 0.6735}, 'left': {'x_1': 0.125, 'y_1': 0.394, 'x_2': 0.3055, 'y_2': 0.799}};{'left': 0.0, 'right': 0.0};[['left hand grasping point on the can opener near the green star'], ['right hand grasping point on the can opener']]
61;grasp_vlm_dataset/bot_rnd1_jpg.rf.9c2c096a2757cd0e2adc3c6a7b3c5d74.jpg;{'hand': [0.14637351989746095, 0.3144312744140625, 0.83383935546875, 0.9579583129882813]};{'handle': {'x_1': 0.324, 'y_1': 0.664, 'x_2': 0.3645, 'y_2': 0.712}};{'hand': 0.004394185040987142};[['entire hand grasping point on the bottom drawer with a round handle']]
62;grasp_vlm_dataset/solder_12_jpg.rf.3a8cc75393a224fd2100f83a8acb7c01.jpg;{'hand': [0.1161998519897461, 0.06302378463745117, 0.7603853149414063, 0.8108840942382812]};{'handle': {'x_1': 0.646, 'y_1': 0.094, 'x_2': 0.738, 'y_2': 0.4635}};{'hand': 0.07056199726174489};[['entire hand grasping point on the soldering iron']]
63;grasp_vlm_dataset/screwdriver_18_jpg.rf.ae2d6f5f3f7f42aa84f46df82cb029f4.jpg;{'hand': [0.4277781982421875, 0.1630797119140625, 0.5849813842773437, 0.9120900268554688]};{'handle': {'x_1': 0.435, 'y_1': 0.536, 'x_2': 0.5765, 'y_2': 0.9475}};{'hand': 0.433511738428636};[['entire hand grasping point on the screwdriver']]
