img_id; img_path                                                                     ; pred_bboxes                                                                                                                                                                                  ; target_bboxes                                                                                                                             ; ious                                                           ; prompts
    13; grasp_vlm_dataset/drill_4_jpg.rf.eee2451241d6df5a9586a83792685b3c.jpg        ; {'index': [0.24514094543457032, 0.23894927978515626, 0.9560768432617187, 0.9851055297851562]}                                                                                                ; {'index': {'x_1': 0.45, 'y_1': 0.369, 'x_2': 0.5025, 'y_2': 0.39}}                                                                        ; {'index': 0.002078348503546799}                                ; [['Best placement for the index finger on the power drill']]
    14; grasp_vlm_dataset/allen_19_jpg.rf.864dd896f0a038dd96e4470bcfd91f6c.jpg       ; {'hand': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                               ; {'handle': {'x_1': 0.28, 'y_1': 0.361, 'x_2': 0.6515, 'y_2': 0.632}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the allen key']]
    15; grasp_vlm_dataset/bolt_cutters5_jpeg.rf.dfd7e7d9d37af37ca6e0f3ff9c35b7fe.jpg ; {'left': [0.4736795959472656, 0.11300318145751953, 0.6666155395507812, 0.8619131469726562], 'right': [0.4736795959472656, 0.11300318145751953, 0.6666155395507812, 0.8619131469726562]}      ; {'right': {'x_1': 0.581, 'y_1': 0.057, 'x_2': 0.656, 'y_2': 0.222}, 'left': {'x_1': 0.331, 'y_1': 0.01, 'x_2': 0.425, 'y_2': 0.1925}}     ; {'left': 0.0, 'right': 0.05497785668923573}                    ; [['Best placement for the entire left hand on the bolt cutters'], ['Best placement near the green star for the entire right hand on the bolt cutters']]
    16; grasp_vlm_dataset/bot_rnd4_jpg.rf.76c8799a9e03f401270000dc4691e1e3.jpg       ; {'hand': [0.16405487060546875, 0.5393063354492188, 0.9117112426757813, 1.0]}                                                                                                                 ; {'handle': {'x_1': 0.409, 'y_1': 0.701, 'x_2': 0.537, 'y_2': 0.815}}                                                                      ; {'hand': 0.042364349481756346}                                 ; [['Best placement for the entire hand on the bottom drawer with a round handle']]
    17; grasp_vlm_dataset/wrench_8_jpg.rf.adc939651c9fb5bc06b5fc7b898bdcc0.jpg       ; {'hand': [0.11314247131347656, 0.18828680419921875, 0.8614523315429687, 0.9358196411132812]}                                                                                                 ; {'handle': {'x_1': 0.173, 'y_1': 0.18, 'x_2': 0.894, 'y_2': 0.821}}                                                                       ; {'hand': 0.7433905025857871}                                   ; [['Best placement for the entire hand on the wrench']]
    18; grasp_vlm_dataset/wrench_13_jpg.rf.40b1fa117433ca5a119417d93bb81c0f.jpg      ; {'hand': [0.022446418762207033, 0.1422088623046875, 0.7058929443359375, 0.8512388305664063]}                                                                                                 ; {'handle': {'x_1': 0.458, 'y_1': 0.301, 'x_2': 0.6465, 'y_2': 0.795}}                                                                     ; {'hand': 0.19216273518800345}                                  ; [['Best placement for the entire hand on the wrench']]
    19; grasp_vlm_dataset/wrench_16_jpg.rf.12243ea8b26ceccdd1e8319ebcf2e0f0.jpg      ; {'hand': [0.1131024169921875, 0.27546249389648436, 0.8619928588867187, 0.7333319091796875]}                                                                                                  ; {'handle': {'x_1': 0.27, 'y_1': 0.277, 'x_2': 0.863, 'y_2': 0.6205}}                                                                      ; {'hand': 0.5924413176234243}                                   ; [['Best placement for the entire hand on the wrench']]
    20; grasp_vlm_dataset/wrench_1_jpg.rf.7d53a6ddd00fecc434ec65c123a93f3d.jpg       ; {'hand': [0.19762904357910155, 0.34316796875, 0.25301547241210937, 0.4809363098144531]}                                                                                                      ; {'handle': {'x_1': 0.427, 'y_1': 0.441, 'x_2': 0.975, 'y_2': 0.7015}}                                                                     ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the wrench']]
    21; grasp_vlm_dataset/drill_10_jpg.rf.630a7c5082ccf4850afde2ebfcc67798.jpg       ; {'index': [0.5118771667480468, 0.18414776611328126, 0.66015966796875, 0.34738232421875]}                                                                                                     ; {'index': {'x_1': 0.466, 'y_1': 0.406, 'x_2': 0.4885, 'y_2': 0.4695}}                                                                     ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the power drill']]
    22; grasp_vlm_dataset/rnd_door13_jpg.rf.ae363c424ddbf2d4d88e5f2b6f4efdb8.jpg     ; {'hand': [0.06588308715820312, 0.0, 0.7802704467773437, 0.7144542846679688]}                                                                                                                 ; {'handle': {'x_1': 0.423, 'y_1': 0.417, 'x_2': 0.6295, 'y_2': 0.638}}                                                                     ; {'hand': 0.08941371161107815}                                  ; [['Best placement for the entire hand on the door with a round handle']]
    23; grasp_vlm_dataset/glue_15_jpg.rf.6a95976744a461ee77b747f9e9c0ea1d.jpg        ; {'index': [0.093169189453125, 0.08841622161865234, 0.83617919921875, 0.8316641235351563]}                                                                                                    ; {'index': {'x_1': 0.53, 'y_1': 0.55, 'x_2': 0.576, 'y_2': 0.692}}                                                                         ; {'index': 0.011828177129619796}                                ; [['Best placement for the index finger on the glue gun']]
    24; grasp_vlm_dataset/nail_16_jpg.rf.1b707bdb9c03991344eda63f6f11fb61.jpg        ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.451, 'y_1': 0.348, 'x_2': 0.512, 'y_2': 0.4}}                                                                         ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the nail gun']]
    25; grasp_vlm_dataset/syringe17_jpg.rf.390c0d625bb7b8c6d48f8c95621bc59f.jpg      ; {'index': [0.22759300231933594, 0.19265682983398438, 0.961704345703125, 0.7720776977539062], 'thumb': [0.22759300231933594, 0.19265682983398438, 0.961704345703125, 0.7720776977539062]}     ; {'thumb': {'x_1': 0.048, 'y_1': 0.124, 'x_2': 0.102, 'y_2': 0.214}, 'index': {'x_1': 0.233, 'y_1': 0.206, 'x_2': 0.334, 'y_2': 0.393}}    ; {'index': 0.0444024478851626, 'thumb': 0.0}                    ; [['Best placement for the index finger on the syringe'], ['Best placement for the thumb finger on the syringe']]
    26; grasp_vlm_dataset/bowl_ball5_jpg.rf.892f5a31c5b2fbe2c81bc9fe8b886e36.jpg     ; {'index': [0.48496075439453123, 0.06385638809204101, 0.9524579467773437, 0.7118560180664063], 'thumb': [0.48496075439453123, 0.06385638809204101, 0.9524579467773437, 0.7118560180664063]}   ; {'thumb': {'x_1': 0.554, 'y_1': 0.366, 'x_2': 0.618, 'y_2': 0.4735}, 'index': {'x_1': 0.57, 'y_1': 0.084, 'x_2': 0.673, 'y_2': 0.1495}}   ; {'index': 0.022270232948677773, 'thumb': 0.02271091716992556}  ; [['Best placement for the index finger on the bowling ball'], ['Best placement for the thumb finger on the bowling ball']]
    27; grasp_vlm_dataset/chainsaw7_jpg.rf.565275ec50efa4026e4e90232c1f2e30.jpg      ; {'left': [0.0, 0.0, 0.0, 0.0], 'right': [0.80542822265625, 0.8533472290039062, 0.948660400390625, 0.9608772583007813]}                                                                       ; {'left': {'x_1': 0.32, 'y_1': 0.417, 'x_2': 0.898, 'y_2': 0.6315}, 'right': {'x_1': 0.536, 'y_1': 0.741, 'x_2': 0.6825, 'y_2': 0.9265}}   ; {'left': 0.0, 'right': 0.0}                                    ; [['Best placement for the entire left hand on the chainsaw'], ['Best placement near the green star for the entire right hand on the chainsaw']]
    28; grasp_vlm_dataset/allen_11_jpg.rf.2b8fb086f4e451a865876d6fc703212d.jpg       ; {'hand': [0.3195777282714844, 0.04767186737060547, 0.8719634399414062, 0.7857003173828125]}                                                                                                  ; {'handle': {'x_1': 0.329, 'y_1': 0.06, 'x_2': 0.761, 'y_2': 0.174}}                                                                       ; {'hand': 0.12080170339136359}                                  ; [['Best placement for the entire hand on the allen key']]
    29; grasp_vlm_dataset/bolt_cutters15_jpeg.rf.ef42d9509414ad9c8a4903f9dca0cd5b.jpg; {'left': [0.0009116649627685547, 0.1884515380859375, 0.6643130493164062, 0.935684326171875], 'right': [0.0, 0.0, 0.0, 0.0]}                                                                  ; {'right': {'x_1': 0.703, 'y_1': 0.052, 'x_2': 0.82, 'y_2': 0.241}, 'left': {'x_1': 0.228, 'y_1': 0.053, 'x_2': 0.3335, 'y_2': 0.2325}}    ; {'left': 0.009111889210768977, 'right': 0.0}                   ; [['Best placement near the green star for the entire left hand on the bolt cutters'], ['Best placement for the entire right hand on the bolt cutters']]
    30; grasp_vlm_dataset/multimeter12_jpg.rf.3dd21ca931f46f4f909297646de2c6c1.jpg   ; {'left': [0.1663677215576172, 0.21759214782714845, 0.9074413452148438, 0.960962890625], 'right': [0.18936553955078125, 0.21852772521972658, 0.9347223510742187, 0.9611009521484375]}         ; {'left': {'x_1': 0.167, 'y_1': 0.649, 'x_2': 0.232, 'y_2': 0.884}, 'right': {'x_1': 0.235, 'y_1': 0.645, 'x_2': 0.3025, 'y_2': 0.8825}}   ; {'left': 0.027727735236916577, 'right': 0.028964355897414844}  ; [['Best placement near the green star for the entire left hand on the multimeter with red and black leads'], ['Best placement for the entire right hand on the multimeter with red and black leads']]
    31; grasp_vlm_dataset/top_rnd5_jpg.rf.d99c25f8f9c36e5930a8492b0d5b5a7d.jpg       ; {'hand': [0.11294720458984375, 0.1635804443359375, 0.862119384765625, 0.9108450317382812]}                                                                                                   ; {'handle': {'x_1': 0.508, 'y_1': 0.3, 'x_2': 0.643, 'y_2': 0.419}}                                                                        ; {'hand': 0.028696219545523722}                                 ; [['Best placement for the entire hand on the top drawer with a round handle']]
    32; grasp_vlm_dataset/wacker_4_jpg.rf.15a736a71eeb7d9dfdbb844dd9933428.jpg       ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.485, 'y_1': 0.539, 'x_2': 0.505, 'y_2': 0.58}}                                                                        ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the weed wacker']]
    33; grasp_vlm_dataset/darts19_jpg.rf.6029ff9335d6fa4f90a81125412346d8.jpg        ; {'index': [0.0, 0.021247602462768553, 0.5629597778320312, 0.5605625610351562], 'thumb': [0.0, 0.02386584281921387, 0.5619246826171875, 0.5618567504882812]}                                  ; {'index': {'x_1': 0.0, 'y_1': 0.291, 'x_2': 0.4265, 'y_2': 0.467}, 'thumb': {'x_1': 0.0, 'y_1': 0.415, 'x_2': 0.409, 'y_2': 0.537}}       ; {'index': 0.2472360921978195, 'thumb': 0.16505553545160737}    ; [['Best placement for the index finger on the dart'], ['Best placement for the thumb finger on the dart']]
    34; grasp_vlm_dataset/nail_5_jpg.rf.c77e61420f71cf91da10ed3daf640b89.jpg         ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.473, 'y_1': 0.356, 'x_2': 0.525, 'y_2': 0.4265}}                                                                      ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the nail gun']]
    35; grasp_vlm_dataset/saw_3_jpg.rf.ad4e2276b34ec00dab9465a14fd8f064.jpg          ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.405, 'y_1': 0.181, 'x_2': 0.443, 'y_2': 0.2265}}                                                                      ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the circular saw']]
    36; grasp_vlm_dataset/allen_7_jpg.rf.ff74d1c9a007a8178cb3005e132148c2.jpg        ; {'hand': [0.11342735290527343, 0.13789918518066407, 0.859393798828125, 0.8856136474609375]}                                                                                                  ; {'handle': {'x_1': 0.689, 'y_1': 0.035, 'x_2': 0.976, 'y_2': 0.511}}                                                                      ; {'hand': 0.10078198410795725}                                  ; [['Best placement for the entire hand on the allen key']]
    37; grasp_vlm_dataset/allen_12_jpg.rf.6cdaf4594425e8dc2a1050bb4332f572.jpg       ; {'hand': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                               ; {'handle': {'x_1': 0.474, 'y_1': 0.285, 'x_2': 0.813, 'y_2': 0.885}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the allen key']]
    38; grasp_vlm_dataset/bow12_jpg.rf.e8b52a7a2257a75f75559a30a57710f2.jpg          ; {'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]}                                                                                                                               ; {'thumb': {'x_1': 0.495, 'y_1': 0.556, 'x_2': 0.564, 'y_2': 0.6215}, 'index': {'x_1': 0.454, 'y_1': 0.488, 'x_2': 0.5995, 'y_2': 0.578}}  ; {'index': 0.0, 'thumb': 0.0}                                   ; [['Best placement for the index finger on the violin bow'], ['Best placement for the thumb finger on the violin bow']]
    39; grasp_vlm_dataset/darts5_jpg.rf.3161a212cec39eb6bc2399b195e56925.jpg         ; {'index': [0.37714178466796877, 0.42648193359375, 0.5921268310546876, 0.7236074829101562], 'thumb': [0.37714178466796877, 0.42648193359375, 0.5921268310546876, 0.7236074829101562]}         ; {'index': {'x_1': 0.411, 'y_1': 0.401, 'x_2': 0.5875, 'y_2': 0.714}, 'thumb': {'x_1': 0.369, 'y_1': 0.42, 'x_2': 0.553, 'y_2': 0.7165}}   ; {'index': 0.7421843675190885, 'thumb': 0.7563537339431955}     ; [['Best placement for the index finger on the dart'], ['Best placement for the thumb finger on the dart']]
    40; grasp_vlm_dataset/scissors7_jpg.rf.68511979cb77432f90a047d4950ef71b.jpg      ; {'index': [0.13969621276855468, 0.13878474426269533, 0.8849524536132812, 0.8866895141601563], 'thumb': [0.13969621276855468, 0.13878474426269533, 0.8849524536132812, 0.8866895141601563]}   ; {'thumb': {'x_1': 0.337, 'y_1': 0.617, 'x_2': 0.5125, 'y_2': 0.8375}, 'index': {'x_1': 0.653, 'y_1': 0.346, 'x_2': 0.931, 'y_2': 0.4975}} ; {'index': 0.062266974471254975, 'thumb': 0.0694278617573504}   ; [['Best placement for the index finger on the pair of scissors'], ['Best placement for the thumb finger on the pair of scissors']]
    41; grasp_vlm_dataset/syringe5_jpg.rf.6e7c490c52e71c8a2910186668410100.jpg       ; {'index': [0.09681215667724609, 0.21636813354492188, 0.636562744140625, 0.8435236206054687], 'thumb': [0.09681215667724609, 0.21636813354492188, 0.636562744140625, 0.8435236206054687]}     ; {'thumb': {'x_1': 0.099, 'y_1': 0.712, 'x_2': 0.173, 'y_2': 0.841}, 'index': {'x_1': 0.257, 'y_1': 0.475, 'x_2': 0.3875, 'y_2': 0.665}}   ; {'index': 0.0732479985870328, 'thumb': 0.02820025789521334}    ; [['Best placement for the index finger on the syringe'], ['Best placement for the thumb finger on the syringe']]
    42; grasp_vlm_dataset/nail_14_jpg.rf.01faa7e4df07e73a9209715b8b0604a1.jpg        ; {'index': [0.004704761505126953, 0.040377975463867184, 0.72896337890625, 0.7844620971679688]}                                                                                                ; {'index': {'x_1': 0.491, 'y_1': 0.576, 'x_2': 0.5085, 'y_2': 0.647}}                                                                      ; {'index': 0.0023055826169570514}                               ; [['Best placement for the index finger on the nail gun']]
    43; grasp_vlm_dataset/allen_15_jpg.rf.3a8e49f7d79525555e5345172c0a6fdc.jpg       ; {'hand': [0.00029921531677246094, 0.38614727783203123, 0.14135935974121094, 0.6112685546875]}                                                                                                ; {'handle': {'x_1': 0.143, 'y_1': 0.55, 'x_2': 0.8555, 'y_2': 0.619}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the allen key']]
    44; grasp_vlm_dataset/bow10_jpg.rf.7b0c0a1dbb49bcc05dbd41266865bb3c.jpg          ; {'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]}                                                                                                                               ; {'thumb': {'x_1': 0.632, 'y_1': 0.37, 'x_2': 0.764, 'y_2': 0.4375}, 'index': {'x_1': 0.672, 'y_1': 0.309, 'x_2': 0.8215, 'y_2': 0.4035}}  ; {'index': 0.0, 'thumb': 0.0}                                   ; [['Best placement for the index finger on the violin bow'], ['Best placement for the thumb finger on the violin bow']]
    45; grasp_vlm_dataset/drill_13_jpg.rf.b425d89333a4fa0b054d630a47a1e2d2.jpg       ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.26, 'y_1': 0.256, 'x_2': 0.3585, 'y_2': 0.3275}}                                                                      ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the power drill']]
    46; grasp_vlm_dataset/rnd_door5_jpg.rf.86400b399cc7de6b5d66efc944defff8.jpg      ; {'hand': [0.7191996459960938, 0.48205258178710936, 0.740819091796875, 0.5802957153320313]}                                                                                                   ; {'handle': {'x_1': 0.49, 'y_1': 0.483, 'x_2': 0.654, 'y_2': 0.5975}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the door with a round handle']]
    47; grasp_vlm_dataset/scissors5_jpg.rf.c74dc93ab50a1d0208a89cd3722c9260.jpg      ; {'index': [0.1737596740722656, 0.21402349853515626, 0.7655206909179687, 0.801517578125], 'thumb': [0.1737596740722656, 0.21402349853515626, 0.7655206909179687, 0.801517578125]}             ; {'thumb': {'x_1': 0.496, 'y_1': 0.249, 'x_2': 0.592, 'y_2': 0.3545}, 'index': {'x_1': 0.563, 'y_1': 0.294, 'x_2': 0.7385, 'y_2': 0.4815}} ; {'index': 0.09465172788464973, 'thumb': 0.029132237797249206}  ; [['Best placement for the index finger on the pair of scissors'], ['Best placement for the thumb finger on the pair of scissors']]
    48; grasp_vlm_dataset/vertical_bar10_jpg.rf.892b0af2cbd734c1b2004634872aabe9.jpg ; {'hand': [0.6677984619140624, 0.5995257568359375, 0.7029497680664063, 0.6437116088867187]}                                                                                                   ; {'handle': {'x_1': 0.678, 'y_1': 0.635, 'x_2': 0.693, 'y_2': 0.7075}}                                                                     ; {'hand': 0.05206107002397591}                                  ; [['Best placement for the entire hand on the door with a vertical bar handle']]
    49; grasp_vlm_dataset/bow14_jpg.rf.71a2fd2cd2d1b27c38de9cab4531960f.jpg          ; {'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]}                                                                                                                               ; {'thumb': {'x_1': 0.802, 'y_1': 0.826, 'x_2': 0.8305, 'y_2': 0.8645}, 'index': {'x_1': 0.761, 'y_1': 0.78, 'x_2': 0.8245, 'y_2': 0.8465}} ; {'index': 0.0, 'thumb': 0.0}                                   ; [['Best placement for the index finger on the violin bow'], ['Best placement for the thumb finger on the violin bow']]
    50; grasp_vlm_dataset/wrench_18_jpg.rf.3779a58974b8e8d42f400c972f63d19f.jpg      ; {'hand': [0.43380050659179686, 0.21121051025390625, 0.6085252685546875, 0.3816348571777344]}                                                                                                 ; {'handle': {'x_1': 0.464, 'y_1': 0.439, 'x_2': 0.904, 'y_2': 0.903}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the wrench']]
    51; grasp_vlm_dataset/saw_0_jpg.rf.381ff29e5ee50ca947c0e35bd4b95b51.jpg          ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.565, 'y_1': 0.517, 'x_2': 0.6185, 'y_2': 0.5385}}                                                                     ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the circular saw']]
    52; grasp_vlm_dataset/can_opener6_jpg.rf.777c939aade535d2616ce8e342c68124.jpg    ; {'left': [0.3428848876953125, 0.2555468902587891, 0.8369310302734375, 0.5920631713867187], 'right': [0.13863839721679688, 0.24340966796875, 0.8867848510742188, 0.830727783203125]}          ; {'right': {'x_1': 0.343, 'y_1': 0.256, 'x_2': 0.99, 'y_2': 0.6965}, 'left': {'x_1': 0.01, 'y_1': 0.469, 'x_2': 0.3955, 'y_2': 0.6915}}    ; {'left': 0.026368945481324298, 'right': 0.4940274409241799}    ; [['Best placement for the entire left hand on the can opener'], ['Best placement near the green star for the entire right hand on the can opener']]
    53; grasp_vlm_dataset/bow19_jpg.rf.fc7fd883059b9dacac8880199c665405.jpg          ; {'index': [0.0, 0.0, 0.0, 0.0], 'thumb': [0.0, 0.0, 0.0, 0.0]}                                                                                                                               ; {'thumb': {'x_1': 0.188, 'y_1': 0.649, 'x_2': 0.267, 'y_2': 0.7585}, 'index': {'x_1': 0.214, 'y_1': 0.549, 'x_2': 0.337, 'y_2': 0.7605}}  ; {'index': 0.0, 'thumb': 0.0}                                   ; [['Best placement for the index finger on the violin bow'], ['Best placement for the thumb finger on the violin bow']]
    54; grasp_vlm_dataset/drill_12_jpg.rf.058fccbb5c588d8a9dfaa38635260228.jpg       ; {'index': [0.0, 0.0, 0.0, 0.0]}                                                                                                                                                              ; {'index': {'x_1': 0.456, 'y_1': 0.469, 'x_2': 0.5025, 'y_2': 0.508}}                                                                      ; {'index': 0.0}                                                 ; [['Best placement for the index finger on the power drill']]
    55; grasp_vlm_dataset/syringe10_jpg.rf.3d523bd81dc1d15dc827aa424ed51584.jpg      ; {'index': [0.59657177734375, 0.09007039642333985, 0.6572064208984375, 0.3074085388183594], 'thumb': [0.59657177734375, 0.09007039642333985, 0.6572064208984375, 0.3074085388183594]}         ; {'thumb': {'x_1': 0.578, 'y_1': 0.787, 'x_2': 0.675, 'y_2': 0.8095}, 'index': {'x_1': 0.56, 'y_1': 0.596, 'x_2': 0.6905, 'y_2': 0.617}}   ; {'index': 0.0, 'thumb': 0.0}                                   ; [['Best placement for the index finger on the syringe'], ['Best placement for the thumb finger on the syringe']]
    56; grasp_vlm_dataset/lever_handle3_jpg.rf.ab85d67053b8eedb15291c06bfb5d761.jpg  ; {'hand': [0.14542591857910156, 0.48839459228515625, 0.2611393432617187, 0.5618029174804687]}                                                                                                 ; {'handle': {'x_1': 0.368, 'y_1': 0.659, 'x_2': 0.435, 'y_2': 0.683}}                                                                      ; {'hand': 0.0}                                                  ; [['Best placement for the entire hand on the door with a horizontal lever handle']]
