img_id;img_path;pred_bboxes;target_bboxes;ious;prompts
27;grasp_vlm_dataset/chainsaw7_jpg.rf.565275ec50efa4026e4e90232c1f2e30.jpg;{'left': [0.3112148742675781, 0.0349515380859375, 0.9955816650390625, 0.9255567626953125], 'right': [0.8920606079101563, 0.0035422444343566895, 1.0, 0.5001275024414062]};{'left': {'x_1': 0.32, 'y_1': 0.417, 'x_2': 0.898, 'y_2': 0.6315}, 'right': {'x_1': 0.536, 'y_1': 0.741, 'x_2': 0.6825, 'y_2': 0.9265}};{'left': 0.20341406059879852, 'right': 0.0};['left hand grasping point on the chainsaw', 'right hand grasping point on the chainsaw']
28;grasp_vlm_dataset/allen_11_jpg.rf.2b8fb086f4e451a865876d6fc703212d.jpg;{'hand': [0.31909005737304685, 0.051935733795166014, 0.8535579833984375, 0.3280436401367188]};{'handle': {'x_1': 0.329, 'y_1': 0.06, 'x_2': 0.761, 'y_2': 0.174}};{'hand': 0.33372451260654656};['entire hand grasping point on the allen key']
29;grasp_vlm_dataset/bolt_cutters15_jpeg.rf.ef42d9509414ad9c8a4903f9dca0cd5b.jpg;{'left': [0.038166015625, 0.48144375610351564, 0.1687901611328125, 0.5784161987304688], 'right': [0.23019561767578126, 0.03532123565673828, 0.8065108032226562, 0.9839078369140625]};{'right': {'x_1': 0.703, 'y_1': 0.052, 'x_2': 0.82, 'y_2': 0.241}, 'left': {'x_1': 0.228, 'y_1': 0.053, 'x_2': 0.3335, 'y_2': 0.2325}};{'left': 0.0, 'right': 0.03561966368509512};['left hand grasping point on the bolt cutters near the green star', 'right hand grasping point on the bolt cutters']
30;grasp_vlm_dataset/multimeter12_jpg.rf.3dd21ca931f46f4f909297646de2c6c1.jpg;{'left': [0.0, 0.002905517816543579, 0.994111572265625, 0.9975009155273438], 'right': [0.16966944885253907, 0.21931422424316407, 0.6149946899414063, 0.9821705932617187]};{'left': {'x_1': 0.167, 'y_1': 0.649, 'x_2': 0.232, 'y_2': 0.884}, 'right': {'x_1': 0.235, 'y_1': 0.645, 'x_2': 0.3025, 'y_2': 0.8825}};{'left': 0.015448974070435974, 'right': 0.04718970893477141};['left hand grasping point on the multimeter with red and black leads near the green star', 'right hand grasping point on the multimeter with red and black leads']
31;grasp_vlm_dataset/top_rnd5_jpg.rf.d99c25f8f9c36e5930a8492b0d5b5a7d.jpg;{'hand': [0.0020250678062438965, 0.01674130630493164, 0.9988652954101562, 0.578369140625]};{'handle': {'x_1': 0.508, 'y_1': 0.3, 'x_2': 0.643, 'y_2': 0.419}};{'hand': 0.02869502126266546};['entire hand grasping point on the top drawer with a round handle']
32;grasp_vlm_dataset/wacker_4_jpg.rf.15a736a71eeb7d9dfdbb844dd9933428.jpg;{'index': [0.4419894714355469, 0.06690093994140625, 0.698294677734375, 0.898035888671875]};{'index': {'x_1': 0.485, 'y_1': 0.539, 'x_2': 0.505, 'y_2': 0.58}};{'index': 0.003849327654783401};['index finger pressing point on the weed wacker']
33;grasp_vlm_dataset/darts19_jpg.rf.6029ff9335d6fa4f90a81125412346d8.jpg;{'index': [0.00047978758811950684, 0.2474227752685547, 0.7553621826171875, 0.6614519653320312], 'thumb': [0.37446310424804685, 0.45249435424804685, 0.5757628173828125, 0.5555618286132813]};{'index': {'x_1': 0.0, 'y_1': 0.291, 'x_2': 0.4265, 'y_2': 0.467}, 'thumb': {'x_1': 0.0, 'y_1': 0.415, 'x_2': 0.409, 'y_2': 0.537}};{'index': 0.23983650836333759, 'thumb': 0.04309311505223032};['index finger grasping point on the dart', 'thumb finger grasping point on the dart']
34;grasp_vlm_dataset/nail_5_jpg.rf.c77e61420f71cf91da10ed3daf640b89.jpg;{'index': [0.06931472015380859, 0.012881785392761231, 0.9041917724609375, 1.0]};{'index': {'x_1': 0.473, 'y_1': 0.356, 'x_2': 0.525, 'y_2': 0.4265}};{'index': 0.004448368644476108};['index finger pressing point on the nail gun']
35;grasp_vlm_dataset/saw_3_jpg.rf.ad4e2276b34ec00dab9465a14fd8f064.jpg;{'index': [0.007149040699005127, 0.012297868728637695, 0.99852734375, 0.994257568359375]};{'index': {'x_1': 0.405, 'y_1': 0.181, 'x_2': 0.443, 'y_2': 0.2265}};{'index': 0.001776077526702929};['index finger pressing point on the circular saw']
36;grasp_vlm_dataset/allen_7_jpg.rf.ff74d1c9a007a8178cb3005e132148c2.jpg;{'hand': [0.6344122924804687, 0.03010927200317383, 0.9734388427734375, 0.5192728271484375]};{'handle': {'x_1': 0.689, 'y_1': 0.035, 'x_2': 0.976, 'y_2': 0.511}};{'hand': 0.8104517515121432};['entire hand grasping point on the allen key']
37;grasp_vlm_dataset/allen_12_jpg.rf.6cdaf4594425e8dc2a1050bb4332f572.jpg;{'hand': [0.27901068115234373, 0.23577296447753907, 0.8036976928710937, 0.8686173095703125]};{'handle': {'x_1': 0.474, 'y_1': 0.285, 'x_2': 0.813, 'y_2': 0.885}};{'hand': 0.5609376522345555};['entire hand grasping point on the allen key']
38;grasp_vlm_dataset/bow12_jpg.rf.e8b52a7a2257a75f75559a30a57710f2.jpg;{'index': [0.08589112854003907, 0.17966058349609376, 0.9429131469726563, 0.9055999755859375], 'thumb': [0.10581849670410157, 0.5037072448730469, 0.593375732421875, 0.8984993286132813]};{'thumb': {'x_1': 0.495, 'y_1': 0.556, 'x_2': 0.564, 'y_2': 0.6215}, 'index': {'x_1': 0.454, 'y_1': 0.488, 'x_2': 0.5995, 'y_2': 0.578}};{'index': 0.021048112651190505, 'thumb': 0.023479905729681956};['index finger grasping point on the violin bow', 'thumb finger grasping point on the violin bow']
39;grasp_vlm_dataset/darts5_jpg.rf.3161a212cec39eb6bc2399b195e56925.jpg;{'index': [0.0366719970703125, 0.0, 0.7116411743164063, 0.8737344970703125], 'thumb': [0.0009308671355247498, 0.42634713745117186, 0.023098230361938477, 0.45344329833984376]};{'index': {'x_1': 0.411, 'y_1': 0.401, 'x_2': 0.5875, 'y_2': 0.714}, 'thumb': {'x_1': 0.369, 'y_1': 0.42, 'x_2': 0.553, 'y_2': 0.7165}};{'index': 0.0936754144486728, 'thumb': 0.0};['index finger grasping point on the dart', 'thumb finger grasping point on the dart']
40;grasp_vlm_dataset/scissors7_jpg.rf.68511979cb77432f90a047d4950ef71b.jpg;{'index': [0.09975591278076172, 0.01999551010131836, 0.9731174926757813, 0.910697265625], 'thumb': [0.283063720703125, 0.3035628356933594, 0.58703125, 0.9072625732421875]};{'thumb': {'x_1': 0.337, 'y_1': 0.617, 'x_2': 0.5125, 'y_2': 0.8375}, 'index': {'x_1': 0.653, 'y_1': 0.346, 'x_2': 0.931, 'y_2': 0.4975}};{'index': 0.05414159396443311, 'thumb': 0.2108810396869853};['index finger grasping point on the pair of scissors', 'thumb finger grasping point on the pair of scissors']
41;grasp_vlm_dataset/syringe5_jpg.rf.6e7c490c52e71c8a2910186668410100.jpg;{'index': [0.08681067657470704, 0.22280683898925782, 0.6217745361328125, 0.8405015258789063], 'thumb': [0.4017833251953125, 0.48164456176757814, 0.42245648193359375, 0.5158444213867187]};{'thumb': {'x_1': 0.099, 'y_1': 0.712, 'x_2': 0.173, 'y_2': 0.841}, 'index': {'x_1': 0.257, 'y_1': 0.475, 'x_2': 0.3875, 'y_2': 0.665}};{'index': 0.07503533112624959, 'thumb': 0.0};['index finger grasping point on the syringe', 'thumb finger grasping point on the syringe']
42;grasp_vlm_dataset/nail_14_jpg.rf.01faa7e4df07e73a9209715b8b0604a1.jpg;{'index': [0.03579998016357422, 0.05210197067260742, 0.9454312744140625, 0.878320556640625]};{'index': {'x_1': 0.491, 'y_1': 0.576, 'x_2': 0.5085, 'y_2': 0.647}};{'index': 0.0016532405313552333};['index finger pressing point on the nail gun']
43;grasp_vlm_dataset/allen_15_jpg.rf.3a8e49f7d79525555e5345172c0a6fdc.jpg;{'hand': [0.0030148327350616455, 0.3973438720703125, 0.9963599243164063, 0.6174971923828125]};{'handle': {'x_1': 0.143, 'y_1': 0.55, 'x_2': 0.8555, 'y_2': 0.619}};{'hand': 0.21883861874351565};['entire hand grasping point on the allen key']
44;grasp_vlm_dataset/bow10_jpg.rf.7b0c0a1dbb49bcc05dbd41266865bb3c.jpg;{'index': [0.0004948675632476807, 0.006132960319519043, 0.9977351684570313, 1.0], 'thumb': [0.46627569580078126, 0.5138323364257813, 0.5213577880859375, 0.5793848266601562]};{'thumb': {'x_1': 0.632, 'y_1': 0.37, 'x_2': 0.764, 'y_2': 0.4375}, 'index': {'x_1': 0.672, 'y_1': 0.309, 'x_2': 0.8215, 'y_2': 0.4035}};{'index': 0.014254267087317148, 'thumb': 0.0};['index finger grasping point on the violin bow', 'thumb finger grasping point on the violin bow']
45;grasp_vlm_dataset/drill_13_jpg.rf.b425d89333a4fa0b054d630a47a1e2d2.jpg;{'index': [0.0029211342334747314, 0.0, 0.7198197631835938, 0.9413197631835938]};{'index': {'x_1': 0.26, 'y_1': 0.256, 'x_2': 0.3585, 'y_2': 0.3275}};{'index': 0.010436319004583737};['index finger pressing point on the power drill']
46;grasp_vlm_dataset/rnd_door5_jpg.rf.86400b399cc7de6b5d66efc944defff8.jpg;{'hand': [0.004607066631317138, 0.5300108642578125, 0.4065809326171875, 0.581473388671875]};{'handle': {'x_1': 0.49, 'y_1': 0.483, 'x_2': 0.654, 'y_2': 0.5975}};{'hand': 0.0};['entire hand grasping point on the door with a round handle']
47;grasp_vlm_dataset/scissors5_jpg.rf.c74dc93ab50a1d0208a89cd3722c9260.jpg;{'index': [0.1742479248046875, 0.2097979736328125, 0.7659904174804687, 0.7908654174804688], 'thumb': [0.4801558227539062, 0.2243053436279297, 0.7598270263671875, 0.5087571716308594]};{'thumb': {'x_1': 0.496, 'y_1': 0.249, 'x_2': 0.592, 'y_2': 0.3545}, 'index': {'x_1': 0.563, 'y_1': 0.294, 'x_2': 0.7385, 'y_2': 0.4815}};{'index': 0.09570157664231323, 'thumb': 0.12731137601315862};['index finger grasping point on the pair of scissors', 'thumb finger grasping point on the pair of scissors']
48;grasp_vlm_dataset/vertical_bar10_jpg.rf.892b0af2cbd734c1b2004634872aabe9.jpg;{'hand': [0.6212205810546875, 0.2539370422363281, 0.7303994750976562, 0.9682410888671875]};{'handle': {'x_1': 0.678, 'y_1': 0.635, 'x_2': 0.693, 'y_2': 0.7075}};{'hand': 0.013944645061251348};['entire hand grasping point on the door with a vertical bar handle']
49;grasp_vlm_dataset/bow14_jpg.rf.71a2fd2cd2d1b27c38de9cab4531960f.jpg;{'index': [0.14699635314941406, 0.06457630157470703, 0.9053238525390624, 0.9508578491210937], 'thumb': [0.8054024658203125, 0.8477689208984375, 0.91836376953125, 0.9468724975585937]};{'thumb': {'x_1': 0.802, 'y_1': 0.826, 'x_2': 0.8305, 'y_2': 0.8645}, 'index': {'x_1': 0.761, 'y_1': 0.78, 'x_2': 0.8245, 'y_2': 0.8465}};{'index': 0.006282997082595824, 'thumb': 0.035369052243689754};['index finger grasping point on the violin bow', 'thumb finger grasping point on the violin bow']
50;grasp_vlm_dataset/wrench_18_jpg.rf.3779a58974b8e8d42f400c972f63d19f.jpg;{'hand': [0.050835399627685546, 0.008357256889343261, 0.8933499145507813, 0.9009077758789062]};{'handle': {'x_1': 0.464, 'y_1': 0.439, 'x_2': 0.904, 'y_2': 0.903}};{'hand': 0.26169579826352224};['entire hand grasping point on the wrench']
51;grasp_vlm_dataset/saw_0_jpg.rf.381ff29e5ee50ca947c0e35bd4b95b51.jpg;{'index': [0.07295307159423828, 0.2307347412109375, 0.9355733642578125, 0.7782306518554688]};{'index': {'x_1': 0.565, 'y_1': 0.517, 'x_2': 0.6185, 'y_2': 0.5385}};{'index': 0.0024355199524223386};['index finger pressing point on the circular saw']
52;grasp_vlm_dataset/can_opener6_jpg.rf.777c939aade535d2616ce8e342c68124.jpg;{'left': [0.00577467679977417, 0.25066432189941407, 0.9905680541992188, 0.814864990234375], 'right': [0.454261474609375, 0.4072949523925781, 0.9958550415039062, 0.693944091796875]};{'right': {'x_1': 0.343, 'y_1': 0.256, 'x_2': 0.99, 'y_2': 0.6965}, 'left': {'x_1': 0.01, 'y_1': 0.469, 'x_2': 0.3955, 'y_2': 0.6915}};{'left': 0.15437454197646552, 'right': 0.5356774110692109};['left hand grasping point on the can opener', 'right hand grasping point on the can opener']
53;grasp_vlm_dataset/bow19_jpg.rf.fc7fd883059b9dacac8880199c665405.jpg;{'index': [0.0, 0.012882023811340333, 0.908513916015625, 1.0], 'thumb': [0.021758825302124023, 0.5903131713867188, 0.2960649108886719, 0.914719482421875]};{'thumb': {'x_1': 0.188, 'y_1': 0.649, 'x_2': 0.267, 'y_2': 0.7585}, 'index': {'x_1': 0.214, 'y_1': 0.549, 'x_2': 0.337, 'y_2': 0.7605}};{'index': 0.029007803070167204, 'thumb': 0.09721123785657425};['index finger grasping point on the violin bow', 'thumb finger grasping point on the violin bow']
54;grasp_vlm_dataset/drill_12_jpg.rf.058fccbb5c588d8a9dfaa38635260228.jpg;{'index': [0.16766658020019531, 0.4862130432128906, 0.34847442626953123, 0.8447144775390625]};{'index': {'x_1': 0.456, 'y_1': 0.469, 'x_2': 0.5025, 'y_2': 0.508}};{'index': 0.0};['index finger pressing point on the power drill']
55;grasp_vlm_dataset/syringe10_jpg.rf.3d523bd81dc1d15dc827aa424ed51584.jpg;{'index': [0.5575243530273437, 0.09164411163330079, 0.6955367431640626, 0.8142741088867187], 'thumb': [0.5996571655273437, 0.5342564086914062, 0.6280623779296876, 0.5648403930664062]};{'thumb': {'x_1': 0.578, 'y_1': 0.787, 'x_2': 0.675, 'y_2': 0.8095}, 'index': {'x_1': 0.56, 'y_1': 0.596, 'x_2': 0.6905, 'y_2': 0.617}};{'index': 0.027478672214742716, 'thumb': 0.0};['index finger grasping point on the syringe', 'thumb finger grasping point on the syringe']
56;grasp_vlm_dataset/lever_handle3_jpg.rf.ab85d67053b8eedb15291c06bfb5d761.jpg;{'hand': [0.34430642700195313, 0.6449786987304688, 0.4343912353515625, 0.6826168823242188]};{'handle': {'x_1': 0.368, 'y_1': 0.659, 'x_2': 0.435, 'y_2': 0.683}};{'hand': 0.45703955996347695};['entire hand grasping point on the door with a horizontal lever handle']
57;grasp_vlm_dataset/scissors12_jpg.rf.f44a95057fd54dffca3524af35df59b8.jpg;{'index': [0.1130564193725586, 0.1372914276123047, 0.9665382080078125, 0.8071402587890625], 'thumb': [0.23007806396484376, 0.14155438232421874, 0.85329736328125, 0.38888772583007813]};{'thumb': {'x_1': 0.735, 'y_1': 0.277, 'x_2': 0.7985, 'y_2': 0.305}, 'index': {'x_1': 0.248, 'y_1': 0.176, 'x_2': 0.376, 'y_2': 0.2845}};{'index': 0.024292300525410312, 'thumb': 0.011534750219555577};['index finger grasping point on the pair of scissors', 'thumb finger grasping point on the pair of scissors']
58;grasp_vlm_dataset/chainsaw6_jpg.rf.5b4d8a4ab5366073fdb7429060f2f91b.jpg;{'left': [0.08016097259521485, 0.17097848510742186, 0.927927734375, 0.74152099609375], 'right': [0.12656822967529296, 0.32471035766601564, 0.20853392028808593, 0.406582763671875]};{'right': {'x_1': 0.364, 'y_1': 0.196, 'x_2': 0.4505, 'y_2': 0.3795}, 'left': {'x_1': 0.074, 'y_1': 0.317, 'x_2': 0.2105, 'y_2': 0.5275}};{'left': 0.056571707707877464, 'right': 0.0};['left hand grasping point on the chainsaw', 'right hand grasping point on the chainsaw']
59;grasp_vlm_dataset/bot_bar9_jpg.rf.30a66623371a1a5721b5e9e370fe14d1.jpg;{'hand': [0.11230892181396485, 0.5551013793945313, 0.3731402587890625, 0.7426743774414063]};{'handle': {'x_1': 0.111, 'y_1': 0.563, 'x_2': 0.378, 'y_2': 0.7455}};{'hand': 0.9227569060189909};['entire hand grasping point on the bottom drawer with a horizontal bar handle']
60;grasp_vlm_dataset/can_opener14_jpg.rf.8757280138abb9bbea8456bad5957885.jpg;{'left': [0.15929611206054686, 0.0167147216796875, 0.47813809204101565, 0.3454447326660156], 'right': [0.07324650573730469, 0.12356778717041016, 0.976115234375, 0.8640525512695313]};{'right': {'x_1': 0.326, 'y_1': 0.128, 'x_2': 0.9715, 'y_2': 0.6735}, 'left': {'x_1': 0.125, 'y_1': 0.394, 'x_2': 0.3055, 'y_2': 0.799}};{'left': 0.0, 'right': 0.5266841672959404};['left hand grasping point on the can opener near the green star', 'right hand grasping point on the can opener']
